,Date,Open,High,Low,Close
0,2013-01-01,1.32036,1.32192,1.31977,1.32053
1,2013-01-02,1.32049,1.32992,1.31567,1.31888
2,2013-01-03,1.3188900000000001,1.3188900000000001,1.30246,1.30366
3,2013-01-04,1.3036400000000001,1.30884,1.29975,1.30677
4,2013-01-07,1.30779,1.31276,1.30165,1.3125200000000001
5,2013-01-08,1.31253,1.31388,1.30569,1.30802
6,2013-01-09,1.30804,1.30953,1.3036400000000001,1.3054000000000001
7,2013-01-10,1.30538,1.32789,1.30383,1.32668
8,2013-01-11,1.32669,1.33644,1.32481,1.33416
9,2013-01-14,1.33621,1.3403100000000001,1.33357,1.33765
10,2013-01-15,1.33762,1.3393,1.32664,1.32972
11,2013-01-16,1.32972,1.33242,1.32564,1.32901
12,2013-01-17,1.32905,1.33871,1.32696,1.33743
13,2013-01-18,1.33741,1.33979,1.32798,1.33195
14,2013-01-21,1.33107,1.33315,1.32991,1.3315299999999999
15,2013-01-22,1.33149,1.33711,1.32667,1.33213
16,2013-01-23,1.3321,1.33538,1.32642,1.33094
17,2013-01-24,1.33095,1.33922,1.32859,1.3378999999999999
18,2013-01-25,1.3378999999999999,1.34785,1.335,1.34629
19,2013-01-28,1.34598,1.34765,1.34244,1.34447
20,2013-01-29,1.34446,1.3496299999999999,1.3414,1.34867
21,2013-01-30,1.34866,1.35857,1.34816,1.35677
22,2013-01-31,1.35676,1.35931,1.35409,1.35869
23,2013-02-01,1.35864,1.37106,1.35828,1.36391
24,2013-02-04,1.3648799999999999,1.36532,1.34985,1.35026
25,2013-02-05,1.3502399999999999,1.35969,1.34578,1.35816
26,2013-02-06,1.35815,1.35953,1.34939,1.35175
27,2013-02-07,1.35174,1.35765,1.33705,1.3394300000000001
28,2013-02-08,1.33945,1.3428200000000001,1.33532,1.3361399999999999
29,2013-02-11,1.33682,1.34265,1.33562,1.34016
30,2013-02-12,1.34015,1.34751,1.3364,1.34518
31,2013-02-13,1.34519,1.35193,1.3426,1.34484
32,2013-02-14,1.34483,1.34546,1.33147,1.3357299999999999
33,2013-02-15,1.33572,1.33929,1.3306200000000001,1.33585
34,2013-02-18,1.33484,1.33782,1.33215,1.33515
35,2013-02-19,1.33518,1.33954,1.33294,1.33847
36,2013-02-20,1.33846,1.3431600000000001,1.32709,1.32874
37,2013-02-21,1.3287200000000001,1.32888,1.31612,1.31916
38,2013-02-22,1.31915,1.32443,1.31451,1.31907
39,2013-02-25,1.31904,1.33183,1.30487,1.3057400000000001
40,2013-02-26,1.30575,1.31209,1.3018,1.30645
41,2013-02-27,1.30646,1.3146499999999999,1.30415,1.31352
42,2013-02-28,1.31352,1.31605,1.30527,1.3066499999999999
43,2013-03-01,1.30664,1.31006,1.29664,1.3018
44,2013-03-04,1.30136,1.30304,1.29822,1.30241
45,2013-03-05,1.30252,1.30742,1.30122,1.30439
46,2013-03-06,1.30438,1.30698,1.29646,1.29765
47,2013-03-07,1.29769,1.31181,1.29731,1.31042
48,2013-03-08,1.31043,1.31341,1.2955,1.30042
49,2013-03-11,1.29892,1.30535,1.29793,1.30344
50,2013-03-12,1.30341,1.30742,1.29909,1.30277
51,2013-03-13,1.30277,1.30646,1.2922799999999999,1.29568
52,2013-03-14,1.29568,1.30311,1.2911000000000001,1.30124
53,2013-03-15,1.30124,1.3106900000000001,1.30023,1.30754
54,2013-03-18,1.29071,1.29954,1.28817,1.29425
55,2013-03-19,1.29423,1.29694,1.28438,1.28578
56,2013-03-20,1.28578,1.29776,1.28566,1.2933
57,2013-03-21,1.29331,1.29551,1.28799,1.2898
58,2013-03-22,1.2898100000000001,1.30095,1.2888,1.29867
59,2013-03-25,1.29724,1.3047900000000001,1.28296,1.28593
60,2013-03-26,1.28596,1.28895,1.28286,1.28633
61,2013-03-27,1.28632,1.28668,1.27509,1.27785
62,2013-03-28,1.27786,1.28443,1.2755,1.28144
63,2013-03-29,1.28144,1.28368,1.2793,1.28148
64,2013-04-01,1.28112,1.28677,1.2771,1.2843499999999999
65,2013-04-02,1.28431,1.28775,1.28086,1.28223
66,2013-04-03,1.28221,1.28639,1.27898,1.28427
67,2013-04-04,1.28427,1.29487,1.27454,1.2933
68,2013-04-05,1.2933,1.30397,1.29005,1.29915
69,2013-04-08,1.2993700000000001,1.30376,1.29683,1.3018399999999999
70,2013-04-09,1.3018399999999999,1.31029,1.30045,1.30812
71,2013-04-10,1.30811,1.3121399999999999,1.30521,1.30667
72,2013-04-11,1.30668,1.3138,1.30431,1.3106499999999999
73,2013-04-12,1.3106499999999999,1.31262,1.30366,1.31082
74,2013-04-15,1.31025,1.31094,1.3021,1.30466
75,2013-04-16,1.30466,1.32015,1.30275,1.3179
76,2013-04-17,1.3179,1.31995,1.30011,1.30355
77,2013-04-18,1.30355,1.30961,1.3020800000000001,1.30483
78,2013-04-19,1.30485,1.3128199999999999,1.3047,1.3051
79,2013-04-22,1.30691,1.3084,1.3014999999999999,1.30615
80,2013-04-23,1.30615,1.30831,1.2973,1.30006
81,2013-04-24,1.3001,1.3034,1.29547,1.30111
82,2013-04-25,1.30111,1.30933,1.29887,1.30088
83,2013-04-26,1.3009,1.30475,1.29905,1.30267
84,2013-04-29,1.30585,1.31163,1.30318,1.30929
