,Date,Open,High,Low,Close
0,2013-01-02,1.03207,1.03567,1.02989,1.03427
1,2013-01-03,1.03432,1.03691,1.03295,1.03335
2,2013-01-04,1.03333,1.0351,1.02823,1.03442
3,2013-01-07,1.03319,1.03647,1.03233,1.03498
4,2013-01-08,1.03515,1.03628,1.03326,1.03597
5,2013-01-09,1.03598,1.03864,1.03488,1.03798
6,2013-01-10,1.03806,1.04376,1.03638,1.04147
7,2013-01-11,1.04138,1.04216,1.03577,1.03765
8,2013-01-14,1.0381,1.0417,1.03583,1.03931
9,2013-01-15,1.03927,1.03986,1.03661,1.03938
10,2013-01-16,1.03937,1.04221,1.03866,1.0419100000000001
11,2013-01-17,1.04188,1.04243,1.03567,1.03912
12,2013-01-18,1.03916,1.04306,1.03674,1.04199
13,2013-01-21,1.04193,1.04512,1.04092,1.04376
14,2013-01-22,1.04373,1.04997,1.04276,1.0476
15,2013-01-23,1.04761,1.0543,1.04472,1.05413
16,2013-01-24,1.05415,1.05427,1.04655,1.04737
17,2013-01-25,1.04732,1.05321,1.04641,1.04835
18,2013-01-28,1.04798,1.05114,1.04608,1.04778
19,2013-01-29,1.04779,1.05154,1.04637,1.04796
20,2013-01-30,1.04794,1.04923,1.0417399999999999,1.04262
21,2013-01-31,1.04259,1.04509,1.03882,1.0391
22,2013-02-01,1.03913,1.04089,1.03409,1.03673
23,2013-02-04,1.0387,1.04238,1.03657,1.04216
24,2013-02-05,1.04218,1.04331,1.03366,1.03389
25,2013-02-06,1.03403,1.03489,1.02592,1.02712
26,2013-02-07,1.0271,1.0294,1.025,1.02563
27,2013-02-08,1.02562,1.03614,1.02365,1.03426
28,2013-02-11,1.03373,1.03598,1.02941,1.03002
29,2013-02-12,1.03003,1.03441,1.0294,1.03256
30,2013-02-13,1.03254,1.03791,1.03214,1.03718
31,2013-02-14,1.038,1.03826,1.03399,1.03661
32,2013-02-15,1.03659,1.03949,1.03481,1.0366
33,2013-02-18,1.03618,1.04155,1.03477,1.04124
34,2013-02-19,1.04123,1.04912,1.04049,1.04698
35,2013-02-20,1.04687,1.04836,1.04122,1.0423499999999999
36,2013-02-21,1.04234,1.04546,1.04099,1.0431
37,2013-02-22,1.04319,1.05722,1.0422,1.05383
38,2013-02-25,1.05303,1.05748,1.0503,1.0521
39,2013-02-26,1.05209,1.05449,1.04855,1.04912
40,2013-02-27,1.04914,1.0498,1.04437,1.04633
41,2013-02-28,1.04593,1.05437,1.04353,1.05243
42,2013-03-01,1.05244,1.05439,1.04649,1.04761
43,2013-03-04,1.04793,1.0481,1.04214,1.04692
44,2013-03-05,1.04691,1.05402,1.04641,1.05292
45,2013-03-06,1.05297,1.06064,1.05271,1.05576
46,2013-03-07,1.05575,1.05856,1.05513,1.05662
47,2013-03-08,1.05661,1.05838,1.04797,1.05229
48,2013-03-11,1.05008,1.05468,1.0492,1.05381
49,2013-03-12,1.05385,1.06019,1.05348,1.05863
50,2013-03-13,1.05862,1.05973,1.05641,1.05825
51,2013-03-14,1.0582,1.06637,1.05746,1.06106
52,2013-03-15,1.06104,1.06112,1.0559,1.06069
53,2013-03-18,1.05829,1.06324,1.05796,1.06222
54,2013-03-19,1.06223,1.06519,1.05953,1.06468
55,2013-03-20,1.06457,1.06662,1.06267,1.06434
56,2013-03-21,1.06433,1.0707200000000001,1.06208,1.06921
57,2013-03-22,1.06922,1.07134,1.06647,1.06782
58,2013-03-24,1.06848,1.06859,1.06786,1.06805
59,2013-03-25,1.06806,1.0702099999999999,1.06623,1.06784
60,2013-03-26,1.06781,1.06942,1.06417,1.06495
61,2013-03-27,1.06494,1.06528,1.05931,1.06112
62,2013-03-28,1.0611,1.06166,1.05621,1.05781
63,2013-03-29,1.05782,1.06024,1.05679,1.05973
64,2013-04-01,1.0601,1.06039,1.05659,1.05944
65,2013-04-02,1.05946,1.06338,1.05879,1.05993
66,2013-04-03,1.05992,1.06381,1.05959,1.06092
67,2013-04-04,1.06088,1.06333,1.05301,1.0565
68,2013-04-05,1.05655,1.06441,1.05324,1.05626
69,2013-04-08,1.05515,1.06196,1.05205,1.0581
70,2013-04-09,1.05806,1.06647,1.05755,1.06567
71,2013-04-10,1.06568,1.07045,1.06426,1.06892
72,2013-04-11,1.06891,1.0711,1.06479,1.06514
73,2013-04-12,1.06515,1.06676,1.06236,1.06456
74,2013-04-15,1.0653,1.0667200000000001,1.0551,1.05731
75,2013-04-16,1.0573,1.0614,1.05458,1.06031
76,2013-04-17,1.06088,1.06212,1.05571,1.05666
77,2013-04-18,1.05664,1.05881,1.05475,1.05641
78,2013-04-19,1.05642,1.06004,1.05415,1.05461
79,2013-04-22,1.0539,1.05599,1.05158,1.05343
80,2013-04-23,1.05341,1.05398,1.0493,1.05191
81,2013-04-24,1.05177,1.05556,1.05039,1.05391
82,2013-04-25,1.05333,1.05612,1.04931,1.04933
83,2013-04-26,1.04926,1.05238,1.04399,1.04504
