,Date,Open,High,Low,Close
0,2013-01-02,0.92083,0.93211,0.91831,0.93129
1,2013-01-03,0.93128,0.93811,0.93025,0.9378
2,2013-01-04,0.93782,0.941,0.93508,0.93564
3,2013-01-07,0.93664,0.94002,0.93372,0.93403
4,2013-01-08,0.93402,0.93725,0.93208,0.93623
5,2013-01-09,0.93622,0.93978,0.93533,0.9365
6,2013-01-10,0.93654,0.93862,0.92645,0.92938
7,2013-01-11,0.92942,0.93354,0.92593,0.92723
8,2013-01-14,0.9269,0.93772,0.92663,0.93678
9,2013-01-15,0.93682,0.94707,0.93606,0.94646
10,2013-01-16,0.94644,0.9469,0.94111,0.94386
11,2013-01-17,0.94388,0.9495,0.94108,0.9457
12,2013-01-18,0.94571,0.95102,0.93588,0.94155
13,2013-01-21,0.94228,0.94269,0.93663,0.93877
14,2013-01-22,0.9388,0.94118,0.93329,0.93641
15,2013-01-23,0.93642,0.93932,0.92838,0.92978
16,2013-01-24,0.92979,0.93205,0.92467,0.92612
17,2013-01-25,0.92617,0.92769,0.91423,0.92074
18,2013-01-28,0.92059,0.92164,0.91628,0.92007
19,2013-01-29,0.92008,0.92141,0.9146,0.9202
20,2013-01-30,0.92019,0.92087,0.90732,0.9094
21,2013-01-31,0.90937,0.91342,0.90571,0.91232
22,2013-02-01,0.91227,0.91289,0.90208,0.91061
23,2013-02-04,0.9109,0.91544,0.90803,0.90902
24,2013-02-05,0.90903,0.91216,0.90846,0.91199
25,2013-02-06,0.91186,0.91699,0.90857,0.91359
26,2013-02-07,0.91337,0.92135,0.91014,0.91992
27,2013-02-08,0.91994,0.92112,0.91342,0.91517
28,2013-02-11,0.91507,0.91589,0.90913,0.91549
29,2013-02-12,0.91548,0.91637,0.90803,0.91459
30,2013-02-13,0.91455,0.91711,0.91141,0.91535
31,2013-02-14,0.91536,0.92313,0.91499,0.91986
32,2013-02-15,0.91987,0.92173,0.91404,0.91558
33,2013-02-18,0.91563,0.91868,0.91184,0.91329
34,2013-02-19,0.9133,0.91401,0.90966,0.91171
35,2013-02-20,0.91173,0.91226,0.9068,0.91124
36,2013-02-21,0.91122,0.91531,0.91113,0.91362
37,2013-02-22,0.91363,0.91502,0.90831,0.90991
38,2013-02-25,0.90877,0.91052,0.90254,0.90807
39,2013-02-26,0.90802,0.90937,0.90474,0.90786
40,2013-02-27,0.90785,0.90983,0.90463,0.90838
41,2013-02-28,0.90853,0.90994,0.905,0.90839
42,2013-03-01,0.9084,0.91936,0.90728,0.91754
43,2013-03-04,0.91688,0.91738,0.91334,0.91551
44,2013-03-05,0.91552,0.91778,0.91464,0.91586
45,2013-03-06,0.91583,0.91917,0.91434,0.91886
46,2013-03-07,0.91887,0.91988,0.91342,0.91527
47,2013-03-08,0.91528,0.93105,0.91321,0.9244
48,2013-03-11,0.9252,0.9262,0.92224,0.92241
49,2013-03-12,0.9224,0.92505,0.91927,0.92289
50,2013-03-13,0.92284,0.92714,0.91879,0.92634
51,2013-03-14,0.92637,0.93228,0.92372,0.92607
52,2013-03-15,0.92608,0.92662,0.91896,0.92035
53,2013-03-18,0.92177,0.92635,0.9197,0.92564
54,2013-03-19,0.92565,0.92661,0.91842,0.92198
55,2013-03-20,0.92197,0.92366,0.91827,0.92043
56,2013-03-21,0.92044,0.9273,0.92031,0.92361
57,2013-03-22,0.92362,0.9246,0.91824,0.91928
58,2013-03-24,0.92017,0.92043,0.91975,0.92019
59,2013-03-25,0.92023,0.92878,0.91447,0.9285
60,2013-03-26,0.92843,0.93387,0.92769,0.93273
61,2013-03-27,0.93272,0.9395,0.93182,0.9381
62,2013-03-28,0.93809,0.93871,0.93163,0.93396
63,2013-03-29,0.93395,0.93538,0.93183,0.93268
64,2013-04-01,0.93344,0.93564,0.92963,0.93055
65,2013-04-02,0.93056,0.93629,0.92945,0.93479
66,2013-04-03,0.9348,0.9382,0.93039,0.93103
67,2013-04-04,0.93104,0.937,0.92662,0.92759
68,2013-04-05,0.92757,0.93001,0.91151,0.91803
69,2013-04-08,0.9184,0.91989,0.91462,0.9189
70,2013-04-09,0.91895,0.92157,0.91543,0.91711
71,2013-04-10,0.91712,0.91958,0.91548,0.91922
72,2013-04-11,0.91923,0.92234,0.91791,0.92089
73,2013-04-12,0.92087,0.92153,0.91317,0.91461
74,2013-04-15,0.91342,0.91558,0.90729,0.9077
75,2013-04-16,0.90771,0.90996,0.90115,0.90332
76,2013-04-17,0.90331,0.90901,0.89818,0.90827
77,2013-04-18,0.90826,0.91036,0.90552,0.90849
78,2013-04-19,0.90842,0.90998,0.90431,0.90904
79,2013-04-22,0.90813,0.91185,0.90809,0.91038
80,2013-04-23,0.9104,0.92142,0.90801,0.92115
81,2013-04-24,0.92118,0.92447,0.91963,0.92289
82,2013-04-25,0.92291,0.92879,0.92119,0.92587
83,2013-04-26,0.92585,0.92756,0.92101,0.9269
84,2013-04-29,0.92531,0.92732,0.92197,0.9258
85,2013-04-30,0.92578,0.9269,0.91943,0.92222
86,2013-05-01,0.92223,0.92469,0.91709,0.91932
87,2013-05-02,0.91934,0.92843,0.91869,0.92488
88,2013-05-03,0.92487,0.9299,0.91948,0.92753
89,2013-05-06,0.92732,0.93205,0.92645,0.93157
90,2013-05-07,0.93156,0.93684,0.92955,0.93586
91,2013-05-08,0.93585,0.93602,0.92987,0.93262
92,2013-05-09,0.93256,0.94554,0.93105,0.94135
93,2013-05-10,0.94134,0.95117,0.93959,0.94696
94,2013-05-13,0.94761,0.94928,0.94371,0.94711
95,2013-05-14,0.9471,0.95041,0.94114,0.9496
96,2013-05-15,0.94957,0.95393,0.94631,0.94951
97,2013-05-16,0.94944,0.953,0.94311,0.94609
98,2013-05-17,0.9461,0.94831,0.93972,0.94561
99,2013-05-20,0.9431,0.94527,0.93961,0.94392
100,2013-05-21,0.94394,0.94554,0.9392,0.94439
