,Date,Open,High,Low,Close
0,2013-01-02,114.469,115.978,114.154,115.13
1,2013-01-03,115.131,115.188,113.633,113.828
2,2013-01-04,113.83,115.395,113.817,115.208
3,2013-01-07,115.207,115.542,114.093,115.131
4,2013-01-08,115.132,115.221,113.626,113.849
5,2013-01-09,113.85,115.011,113.536,114.789
6,2013-01-10,114.786,117.825,114.754,117.805
7,2013-01-11,117.804,119.326,117.611,118.983
8,2013-01-14,119.298,120.106,118.864,119.715
9,2013-01-15,119.711,119.968,117.576,118.129
10,2013-01-16,118.128,118.237,116.452,117.43
11,2013-01-17,117.429,120.578,116.989,120.209
12,2013-01-18,120.208,120.695,119.33,119.976
13,2013-01-21,119.906,120.223,118.862,119.275
14,2013-01-22,119.276,120.143,117.312,118.172
15,2013-01-23,118.171,118.315,117.035,117.993
16,2013-01-24,117.994,121.058,117.564,120.813
17,2013-01-25,120.811,122.758,120.644,122.302
18,2013-01-28,122.588,122.897,121.613,122.233
19,2013-01-29,122.228,122.544,121.201,122.375
20,2013-01-30,122.373,123.847,122.273,123.551
21,2013-01-31,123.552,124.586,122.966,124.499
22,2013-02-01,124.498,126.956,124.387,126.616
23,2013-02-04,126.635,126.845,124.616,124.815
24,2013-02-05,124.816,127.204,123.998,127.165
25,2013-02-06,127.16,127.691,125.906,126.587
26,2013-02-07,126.588,127.45,124.475,125.423
27,2013-02-08,125.419,125.553,123.406,123.866
28,2013-02-11,123.963,126.624,123.472,126.418
29,2013-02-12,126.423,126.931,124.98,125.758
30,2013-02-13,125.757,126.548,124.759,125.617
31,2013-02-14,125.619,125.944,123.797,124.083
32,2013-02-15,124.08,125.262,122.881,124.908
33,2013-02-18,125.052,125.883,124.988,125.42
34,2013-02-19,125.418,125.445,124.533,125.258
35,2013-02-20,125.259,125.88,124.156,124.273
36,2013-02-21,124.278,124.691,122.239,122.791
37,2013-02-22,122.801,123.762,122.525,123.21
38,2013-02-25,124.932,125.201,118.726,119.915
39,2013-02-26,119.911,121.343,118.958,120.116
40,2013-02-27,120.117,121.436,119.195,121.165
41,2013-02-28,121.146,121.81,120.504,120.838
42,2013-03-01,120.84,122.155,120.334,121.87
43,2013-03-04,121.818,121.967,121.106,121.746
44,2013-03-05,121.745,121.854,121.13,121.73
45,2013-03-06,121.732,122.26,121.475,121.956
46,2013-03-07,121.957,124.565,121.756,124.265
47,2013-03-08,124.264,125.963,123.787,124.83
48,2013-03-11,124.703,125.68,124.623,125.643
49,2013-03-12,125.642,126.018,124.37,125.038
50,2013-03-13,125.037,125.208,124.162,124.502
51,2013-03-14,124.504,125.223,124.037,124.955
52,2013-03-15,124.954,125.778,124.192,124.572
53,2013-03-18,122.1,123.934,121.621,123.453
54,2013-03-19,123.455,124.109,121.813,122.385
55,2013-03-20,122.388,124.489,122.015,124.255
56,2013-03-21,124.254,124.36,122.015,122.494
57,2013-03-22,122.495,123.446,121.443,122.679
58,2013-03-24,122.478,122.584,122.478,122.489
59,2013-03-25,122.493,123.837,120.066,120.989
60,2013-03-26,120.992,121.622,120.71,121.52
61,2013-03-27,121.519,121.856,119.939,120.591
62,2013-03-28,120.594,120.93,119.732,120.715
