,Date,Open,High,Low,Close
0,2013-01-02,71.743,73.121,71.519,72.76
1,2013-01-03,72.759,72.805,72.15,72.201
2,2013-01-04,72.199,73.348,72.109,73.274
3,2013-01-07,73.156,73.513,72.631,73.452
4,2013-01-08,73.449,73.484,72.532,72.785
5,2013-01-09,72.786,73.827,72.604,73.749
6,2013-01-10,73.747,75.054,73.732,75.035
7,2013-01-11,75.034,75.369,74.436,74.574
8,2013-01-14,74.895,75.443,74.74,75.406
9,2013-01-15,75.404,75.495,74.094,74.526
10,2013-01-16,74.523,74.713,73.451,74.278
11,2013-01-17,74.275,75.792,73.883,75.125
12,2013-01-18,75.124,75.393,74.791,75.362
13,2013-01-21,75.344,75.453,74.566,74.874
14,2013-01-22,74.875,75.646,74.292,74.564
15,2013-01-23,74.561,74.766,74.015,74.608
16,2013-01-24,74.597,75.851,74.361,75.641
17,2013-01-25,75.639,76.34,75.524,76.055
18,2013-01-28,76.025,76.212,75.013,75.735
19,2013-01-29,75.738,76.135,75.311,76.113
20,2013-01-30,76.112,76.248,75.451,76.101
21,2013-01-31,76.102,76.962,75.712,76.896
22,2013-02-01,76.895,78.498,76.827,78.405
23,2013-02-04,78.642,78.759,77.69,77.854
24,2013-02-05,77.853,79.114,77.433,79.036
25,2013-02-06,78.618,79.376,78.389,78.569
26,2013-02-07,78.57,78.616,77.341,77.96
27,2013-02-08,77.964,78.178,77.084,77.432
28,2013-02-11,77.553,78.849,76.957,78.743
29,2013-02-12,78.744,78.876,78.102,78.505
30,2013-02-13,78.506,79.002,78.108,78.915
31,2013-02-14,78.91,79.6,78.434,78.962
32,2013-02-15,78.963,79.334,78.424,79.017
33,2013-02-18,79.078,79.501,79.076,79.37
34,2013-02-19,79.368,79.379,78.782,79.208
35,2013-02-20,79.205,79.342,77.987,78.153
36,2013-02-21,78.152,78.327,77.322,77.588
37,2013-02-22,77.597,78.361,77.548,78.361
38,2013-02-25,79.052,79.052,76.053,76.436
39,2013-02-26,76.437,77.28,75.141,75.838
40,2013-02-27,75.821,76.45,75.068,76.305
41,2013-02-28,76.306,76.894,76.169,76.298
42,2013-03-01,76.297,77.3,76.244,77.192
43,2013-03-04,77.024,77.347,76.453,77.336
44,2013-03-05,77.34,77.725,76.876,77.492
45,2013-03-06,77.491,78.012,77.4,77.879
46,2013-03-07,77.886,78.623,77.554,78.507
47,2013-03-08,78.506,79.813,78.241,78.871
48,2013-03-11,78.719,79.715,78.648,79.604
49,2013-03-12,79.605,79.863,78.723,79.224
50,2013-03-13,79.223,79.375,78.446,78.64
51,2013-03-14,78.636,79.083,78.288,78.924
52,2013-03-15,78.922,79.079,78.526,78.788
53,2013-03-18,77.861,78.854,77.721,78.713
54,2013-03-19,78.716,78.965,78.006,78.402
55,2013-03-20,78.397,79.435,78.006,79.323
56,2013-03-21,79.319,79.572,78.615,78.951
57,2013-03-22,78.948,79.064,78.391,78.923
58,2013-03-24,78.75,78.75,78.74,78.74
59,2013-03-25,78.83,79.363,78.001,78.615
60,2013-03-26,78.614,79.342,78.363,79.269
61,2013-03-27,79.268,79.447,78.453,78.929
62,2013-03-28,78.927,79.021,78.517,78.801
63,2013-03-29,78.8,78.936,78.535,78.792
64,2013-04-01,78.828,78.963,77.902,77.998
65,2013-04-02,78.0,78.815,77.756,78.599
66,2013-04-03,78.59,78.935,78.031,78.265
67,2013-04-04,78.276,81.145,78.013,81.105
68,2013-04-05,81.116,82.473,80.455,82.212
69,2013-04-08,82.608,84.063,82.44,84.014
70,2013-04-09,84.013,84.724,83.618,84.384
71,2013-04-10,84.385,85.621,84.254,85.534
72,2013-04-11,85.527,86.373,85.238,86.005
73,2013-04-12,86.006,86.125,84.179,84.468
74,2013-04-15,84.163,84.6,80.743,81.301
75,2013-04-16,81.297,83.357,80.507,82.793
76,2013-04-17,82.788,83.467,81.939,82.781
77,2013-04-18,82.78,83.306,82.204,82.529
78,2013-04-19,82.533,84.175,82.421,83.753
79,2013-04-22,83.817,84.455,83.083,83.551
80,2013-04-23,83.552,83.706,82.358,83.473
81,2013-04-24,83.43,84.47,83.43,84.305
82,2013-04-25,84.304,84.896,84.165,84.321
83,2013-04-26,84.323,84.622,82.979,83.094
84,2013-04-29,83.038,84.054,82.808,83.701
85,2013-04-30,83.694,83.895,83.129,83.415
86,2013-05-01,83.417,83.7,82.322,82.734
87,2013-05-02,82.738,83.433,82.218,83.16
88,2013-05-03,83.159,84.744,83.109,84.449
89,2013-05-06,84.615,84.84,84.24,84.528
90,2013-05-07,84.527,84.628,83.269,83.684
91,2013-05-08,83.685,83.788,82.664,83.136
92,2013-05-09,83.138,84.696,83.051,84.39
93,2013-05-10,84.389,84.79,83.959,84.35
94,2013-05-13,84.368,84.58,83.818,83.961
95,2013-05-14,83.96,84.188,83.509,83.914
96,2013-05-15,83.915,84.421,83.725,84.159
97,2013-05-16,84.163,84.479,83.272,83.364
98,2013-05-17,83.365,83.553,82.703,83.212
99,2013-05-20,83.09,83.693,82.511,83.543
100,2013-05-21,83.545,84.195,83.323,83.668
101,2013-05-22,83.67,84.329,82.791,83.279
102,2013-05-23,83.288,83.302,81.104,82.944
103,2013-05-24,82.942,83.079,81.349,81.978
104,2013-05-27,81.824,82.043,81.299,81.563
105,2013-05-28,81.569,83.011,81.548,82.675
106,2013-05-29,82.71,82.872,81.752,81.812
107,2013-05-30,81.811,82.244,81.13,81.277
108,2013-05-31,81.266,81.889,79.712,79.831
109,2013-06-03,80.023,80.484,79.629,80.474
110,2013-06-04,80.475,80.729,79.678,80.148
111,2013-06-05,80.147,80.711,78.489,78.911
112,2013-06-06,78.912,79.129,77.373,77.794
113,2013-06-07,77.792,77.923,75.771,76.914
114,2013-06-10,76.524,78.372,76.509,78.017
115,2013-06-11,78.016,78.223,75.081,75.525
116,2013-06-12,75.299,77.467,75.16,76.681
117,2013-06-13,76.58,77.377,74.42,77.188
118,2013-06-14,77.189,77.631,75.558,75.736
119,2013-06-17,75.792,76.952,75.45,75.49
120,2013-06-18,75.489,76.547,75.425,76.134
121,2013-06-19,76.133,76.789,75.824,76.13
122,2013-06-20,76.142,76.738,75.04,75.405
123,2013-06-21,75.411,76.214,75.004,75.827
124,2013-06-24,75.748,76.463,75.28,75.729
125,2013-06-25,75.73,76.021,75.022,75.669
126,2013-06-26,75.693,76.621,75.261,76.073
127,2013-06-27,76.078,77.1,75.88,76.621
128,2013-06-28,76.622,77.277,76.437,76.727
129,2013-07-01,76.546,78.024,76.542,77.916
130,2013-07-02,77.88,78.081,77.379,77.962
131,2013-07-03,77.958,78.222,76.862,77.704
132,2013-07-04,77.694,78.597,77.357,78.312
133,2013-07-05,78.313,78.834,77.507,77.966
134,2013-07-08,77.93,78.995,77.891,78.717
135,2013-07-09,78.715,79.712,78.399,79.407
136,2013-07-10,79.411,79.566,77.802,78.076
137,2013-07-11,78.079,78.894,76.662,77.641
138,2013-07-12,77.634,78.019,77.103,77.133
139,2013-07-15,77.297,78.111,77.202,77.928
140,2013-07-16,77.934,78.447,77.806,78.179
141,2013-07-17,78.181,78.85,77.997,78.708
142,2013-07-18,78.709,79.437,78.439,79.305
143,2013-07-19,79.293,80.051,78.962,79.784
144,2013-07-22,79.31,79.688,78.949,79.35
145,2013-07-23,79.351,79.806,79.059,79.476
146,2013-07-24,79.477,79.908,79.19,79.568
147,2013-07-25,79.567,80.398,79.567,80.191
148,2013-07-26,80.189,80.266,79.015,79.427
149,2013-07-29,79.167,79.38,78.289,78.656
150,2013-07-30,78.658,78.761,77.999,78.263
151,2013-07-31,78.262,78.427,77.862,78.118
152,2013-08-01,78.112,78.661,77.524,78.505
153,2013-08-02,78.507,78.698,77.182,77.482
154,2013-08-05,76.643,76.999,76.354,76.851
155,2013-08-06,76.851,77.533,76.625,77.175
156,2013-08-07,77.167,77.335,76.346,76.742
157,2013-08-08,76.741,77.549,76.517,77.392
158,2013-08-09,77.383,77.602,76.963,77.279
159,2013-08-12,77.286,77.783,77.008,77.579
160,2013-08-13,77.585,78.476,77.486,78.144
161,2013-08-14,78.144,78.942,78.09,78.727
162,2013-08-15,78.727,79.378,78.348,78.559
163,2013-08-16,78.57,79.291,78.316,78.976
164,2013-08-19,79.169,79.869,78.586,78.641
165,2013-08-20,78.641,78.839,77.212,77.567
166,2013-08-21,77.576,77.617,76.591,76.591
167,2013-08-22,76.593,77.41,76.415,77.214
168,2013-08-23,77.215,77.646,76.767,76.962
169,2013-08-26,76.892,77.571,76.73,77.29
170,2013-08-27,77.291,77.386,75.399,75.61
171,2013-08-28,75.61,76.24,75.079,76.09
172,2013-08-29,76.094,76.727,76.035,76.373
173,2013-08-30,76.363,76.495,75.702,75.768
174,2013-09-02,76.38,77.734,76.147,77.512
175,2013-09-03,77.511,78.14,77.199,77.595
176,2013-09-04,77.595,78.999,77.55,78.802
177,2013-09-05,78.798,79.139,78.347,78.872
178,2013-09-06,78.872,79.458,78.765,79.227
179,2013-09-09,79.738,79.958,79.248,79.792
180,2013-09-10,79.788,81.091,79.763,80.938
181,2013-09-11,80.94,80.999,80.507,80.665
182,2013-09-12,80.663,81.367,80.594,80.971
183,2013-09-13,80.972,81.276,80.637,80.721
184,2013-09-16,81.058,81.233,80.794,80.903
185,2013-09-17,80.902,81.86,80.851,81.616
186,2013-09-18,81.615,82.146,81.161,81.941
