,Date,Open,High,Low,Close
0,2013-01-01,0.99281,0.99313,0.992,0.99266
1,2013-01-02,0.99266,0.9943,0.9836,0.98541
2,2013-01-03,0.98537,0.98869,0.9842,0.98852
3,2013-01-04,0.98851,0.9923,0.98478,0.98708
4,2013-01-07,0.98613,0.98844,0.98524,0.98577
5,2013-01-08,0.98576,0.98823,0.98426,0.98659
6,2013-01-09,0.98659,0.98805,0.98541,0.98771
7,2013-01-10,0.98772,0.98796,0.98272,0.98317
8,2013-01-11,0.98324,0.98528,0.98151,0.98472
9,2013-01-14,0.98443,0.98657,0.98306,0.98396
10,2013-01-15,0.98398,0.98663,0.98308,0.98427
11,2013-01-16,0.98425,0.98772,0.98369,0.98618
12,2013-01-17,0.98619,0.98853,0.98424,0.98558
13,2013-01-18,0.98556,0.99461,0.98533,0.99147
14,2013-01-21,0.99213,0.99385,0.99088,0.99263
15,2013-01-22,0.99263,0.99453,0.99082,0.99193
16,2013-01-23,0.99195,1.00041,0.99026,0.99967
17,2013-01-24,0.99966,1.00356,0.99895,1.00222
18,2013-01-25,1.00222,1.00996,1.00207,1.00565
19,2013-01-28,1.00664,1.00997,1.00573,1.00593
20,2013-01-29,1.00597,1.00661,1.00068,1.00135
21,2013-01-30,1.00136,1.00521,1.0008,1.00163
22,2013-01-31,1.00164,1.00342,0.99565,0.99674
23,2013-02-01,0.99671,1.00035,0.99633,0.99633
24,2013-02-04,0.99657,0.99924,0.99473,0.99901
25,2013-02-05,0.99901,0.99941,0.99488,0.99539
26,2013-02-06,0.9954,0.99883,0.99502,0.99569
27,2013-02-07,0.99569,0.99936,0.99318,0.99768
28,2013-02-08,0.99767,1.00348,0.997,1.00197
29,2013-02-11,1.003,1.00831,1.00264,1.0052
30,2013-02-12,1.0052,1.00875,1.00136,1.00157
31,2013-02-13,1.00158,1.00435,1.00115,1.0014
32,2013-02-14,1.00138,1.00237,0.99988,1.00064
33,2013-02-15,1.00065,1.00819,1.00012,1.00619
34,2013-02-18,1.00752,1.01206,1.00568,1.01054
