,Date,Open,High,Low,Close
0,2013-01-01,0.91481,0.91532,0.91285,0.9145
1,2013-01-02,0.91445,0.91983,0.90773,0.91735
2,2013-01-03,0.91735,0.92793,0.91735,0.92721
3,2013-01-04,0.92719,0.93021,0.92306,0.92439
4,2013-01-07,0.92418,0.92862,0.92031,0.92043
5,2013-01-08,0.92044,0.92567,0.9201,0.924
6,2013-01-09,0.92399,0.9273,0.92312,0.92573
7,2013-01-10,0.92573,0.92684,0.91277,0.9138
8,2013-01-11,0.91383,0.91782,0.91101,0.91326
9,2013-01-14,0.91399,0.92277,0.91187,0.92209
10,2013-01-15,0.92214,0.9332,0.92104,0.93234
11,2013-01-16,0.93234,0.93286,0.92853,0.93081
12,2013-01-17,0.93084,0.93595,0.92974,0.9325
13,2013-01-18,0.9325,0.93878,0.93041,0.93371
14,2013-01-21,0.93473,0.93489,0.93072,0.93206
15,2013-01-22,0.93204,0.93457,0.92742,0.92879
16,2013-01-23,0.9288,0.93148,0.92765,0.92997
17,2013-01-24,0.92998,0.93237,0.92789,0.92851
18,2013-01-25,0.92855,0.93062,0.92218,0.92626
19,2013-01-28,0.92712,0.92922,0.92567,0.92645
20,2013-01-29,0.92646,0.92672,0.9193,0.92172
21,2013-01-30,0.92171,0.92265,0.9093,0.91121
22,2013-01-31,0.9112,0.91199,0.90752,0.90998
23,2013-02-01,0.91003,0.9108,0.90214,0.90746
24,2013-02-04,0.90825,0.9117,0.90715,0.9089
25,2013-02-05,0.90889,0.91159,0.90714,0.90791
26,2013-02-06,0.90792,0.91489,0.90558,0.9099
27,2013-02-07,0.90987,0.92007,0.90647,0.91852
28,2013-02-08,0.91853,0.91895,0.91546,0.91677
29,2013-02-11,0.91739,0.92124,0.9156,0.92047
30,2013-02-12,0.92049,0.92141,0.91495,0.91691
31,2013-02-13,0.91691,0.91962,0.9152,0.91712
32,2013-02-14,0.91714,0.92452,0.91675,0.92146
33,2013-02-15,0.92145,0.92409,0.9204,0.92158
34,2013-02-18,0.92248,0.92574,0.92096,0.92308
35,2013-02-19,0.92309,0.92489,0.92145,0.92279
36,2013-02-20,0.92279,0.9285,0.91834,0.92683
37,2013-02-21,0.92692,0.93324,0.92687,0.93047
38,2013-02-22,0.93044,0.93279,0.92826,0.92937
39,2013-02-25,0.93097,0.93381,0.92316,0.9323
40,2013-02-26,0.93228,0.93348,0.92859,0.93194
41,2013-02-27,0.93196,0.93312,0.92847,0.92958
42,2013-02-28,0.92957,0.9373,0.92797,0.93637
43,2013-03-01,0.93636,0.94623,0.93509,0.94225
44,2013-03-04,0.94229,0.94399,0.94059,0.94061
45,2013-03-05,0.94074,0.94332,0.9393,0.9411
46,2013-03-06,0.94122,0.94889,0.94019,0.94837
47,2013-03-07,0.94837,0.94883,0.94096,0.94246
48,2013-03-08,0.94247,0.95511,0.94171,0.95095
49,2013-03-11,0.95239,0.95291,0.94657,0.94743
50,2013-03-12,0.94743,0.95042,0.94359,0.94729
51,2013-03-13,0.94727,0.95323,0.94293,0.95252
52,2013-03-14,0.95253,0.95664,0.94508,0.94644
53,2013-03-15,0.94646,0.94757,0.93789,0.93851
54,2013-03-18,0.94434,0.94856,0.94162,0.94684
55,2013-03-19,0.94684,0.94908,0.94253,0.948
56,2013-03-20,0.94799,0.94807,0.94108,0.94511
57,2013-03-21,0.9451,0.94818,0.94381,0.94654
58,2013-03-22,0.94653,0.94741,0.93961,0.94091
59,2013-03-25,0.94103,0.94965,0.93509,0.94816
60,2013-03-26,0.94814,0.95042,0.94718,0.9479
61,2013-03-27,0.9479,0.95533,0.94765,0.95368
62,2013-03-28,0.9537,0.9548,0.9466,0.94945
63,2013-03-29,0.94944,0.95114,0.94801,0.94885
64,2013-04-01,0.94962,0.95265,0.94556,0.94676
65,2013-04-02,0.94678,0.94969,0.94441,0.94867
66,2013-04-03,0.94867,0.95201,0.94416,0.94536
67,2013-04-04,0.94533,0.95257,0.9382,0.93972
68,2013-04-05,0.93976,0.94332,0.93126,0.93406
69,2013-04-08,0.93386,0.9361,0.93279,0.93463
70,2013-04-09,0.93464,0.93663,0.93074,0.93258
71,2013-04-10,0.93258,0.9336,0.92945,0.93261
72,2013-04-11,0.93261,0.93394,0.92783,0.93083
73,2013-04-12,0.93082,0.93318,0.92636,0.92704
74,2013-04-15,0.92748,0.93264,0.9268,0.93071
75,2013-04-16,0.93071,0.93263,0.92074,0.92216
76,2013-04-17,0.92216,0.93382,0.92057,0.93265
77,2013-04-18,0.93265,0.93342,0.92889,0.93267
78,2013-04-19,0.93266,0.93422,0.92759,0.93356
79,2013-04-22,0.93237,0.93708,0.93143,0.93433
80,2013-04-23,0.93432,0.94564,0.93272,0.94523
81,2013-04-24,0.94523,0.94986,0.94434,0.94722
82,2013-04-25,0.94725,0.94839,0.94222,0.94479
83,2013-04-26,0.94477,0.94559,0.9402,0.9423
84,2013-04-29,0.94106,0.94292,0.93538,0.93707
85,2013-04-30,0.9371,0.93837,0.92784,0.9294
86,2013-05-01,0.92945,0.93089,0.92468,0.92699
87,2013-05-02,0.92699,0.93623,0.92645,0.93508
88,2013-05-03,0.93508,0.93984,0.93026,0.93496
89,2013-05-06,0.93519,0.93967,0.93382,0.93837
90,2013-05-07,0.93842,0.94363,0.93664,0.94029
91,2013-05-08,0.94029,0.94106,0.93367,0.93499
92,2013-05-09,0.93499,0.94984,0.93334,0.94814
93,2013-05-10,0.94814,0.96276,0.94757,0.95657
94,2013-05-13,0.95848,0.95961,0.95469,0.95703
95,2013-05-14,0.95706,0.96733,0.95209,0.96602
96,2013-05-15,0.96598,0.97477,0.96426,0.96581
97,2013-05-16,0.96588,0.97084,0.9578,0.96443
98,2013-05-17,0.96444,0.97614,0.96368,0.97209
99,2013-05-20,0.96975,0.97188,0.96476,0.96656
100,2013-05-21,0.96656,0.97504,0.96541,0.97019
101,2013-05-22,0.97022,0.98384,0.96788,0.97913
102,2013-05-23,0.97913,0.98174,0.96338,0.96873
103,2013-05-24,0.96873,0.97163,0.95904,0.96073
104,2013-05-27,0.96183,0.96478,0.95921,0.96239
105,2013-05-28,0.9624,0.97804,0.9624,0.97664
106,2013-05-29,0.97662,0.97899,0.96,0.96185
107,2013-05-30,0.9619,0.96505,0.95258,0.95325
108,2013-05-31,0.95329,0.96245,0.95112,0.95455
109,2013-06-03,0.95732,0.9624,0.9408,0.94719
110,2013-06-04,0.94719,0.95201,0.94529,0.94695
111,2013-06-05,0.94698,0.94938,0.93954,0.94188
112,2013-06-06,0.94213,0.94384,0.92246,0.92903
113,2013-06-07,0.92903,0.93737,0.92479,0.93537
114,2013-06-10,0.93696,0.94181,0.93177,0.93343
115,2013-06-11,0.93358,0.9349,0.92236,0.92452
116,2013-06-12,0.92454,0.92868,0.91728,0.92036
117,2013-06-13,0.92059,0.92582,0.91301,0.9216
118,2013-06-14,0.92206,0.92698,0.91958,0.92053
119,2013-06-17,0.92184,0.92715,0.9214,0.9227
120,2013-06-18,0.92271,0.92621,0.91752,0.91987
