,Date,Open,High,Low,Close
0,2013-01-02,0.95075,0.96443,0.9486,0.96359
1,2013-01-03,0.9636,0.97131,0.96245,0.96939
2,2013-01-04,0.96941,0.9706,0.96563,0.9684
3,2013-01-07,0.96827,0.9737,0.96581,0.96739
4,2013-01-08,0.96736,0.97047,0.96439,0.97024
5,2013-01-09,0.97025,0.97577,0.96913,0.9724
6,2013-01-10,0.97241,0.97776,0.967,0.96839
7,2013-01-11,0.96843,0.96985,0.96032,0.9621
8,2013-01-14,0.96257,0.97457,0.96048,0.97399
9,2013-01-15,0.97401,0.98445,0.97229,0.98411
10,2013-01-16,0.98413,0.98516,0.97877,0.98377
11,2013-01-17,0.98376,0.9859,0.97701,0.98309
12,2013-01-18,0.9831,0.9872,0.97572,0.98127
13,2013-01-21,0.98215,0.98267,0.97828,0.98021
14,2013-01-22,0.98024,0.98421,0.97877,0.98136
15,2013-01-23,0.98137,0.98283,0.97761,0.9805
16,2013-01-24,0.98051,0.98057,0.96981,0.97031
17,2013-01-25,0.97033,0.97293,0.96225,0.9654
18,2013-01-28,0.96508,0.96784,0.96164,0.96444
19,2013-01-29,0.96446,0.96805,0.96078,0.96478
20,2013-01-30,0.96476,0.96592,0.94748,0.94845
21,2013-01-31,0.94844,0.95121,0.94325,0.94843
22,2013-02-01,0.94838,0.94941,0.93725,0.94435
23,2013-02-04,0.94649,0.95094,0.94459,0.94772
24,2013-02-05,0.94778,0.95118,0.94173,0.94329
25,2013-02-06,0.94324,0.944,0.93648,0.93869
26,2013-02-07,0.93846,0.94749,0.93536,0.94379
27,2013-02-08,0.94382,0.94895,0.94171,0.94599
28,2013-02-11,0.94619,0.94708,0.94009,0.94334
29,2013-02-12,0.94333,0.94583,0.93693,0.94471
30,2013-02-13,0.94467,0.95119,0.94466,0.95075
31,2013-02-14,0.95076,0.95644,0.94857,0.95383
32,2013-02-15,0.95381,0.95626,0.94838,0.94944
33,2013-02-18,0.94921,0.95244,0.94771,0.95127
34,2013-02-19,0.95126,0.95667,0.9506,0.95503
35,2013-02-20,0.95502,0.95543,0.94803,0.95024
36,2013-02-21,0.95022,0.95651,0.94934,0.95331
37,2013-02-22,0.95337,0.96261,0.95271,0.95888
38,2013-02-25,0.95733,0.96084,0.95164,0.9558
39,2013-02-26,0.95574,0.95866,0.94997,0.95283
40,2013-02-27,0.95282,0.95374,0.94657,0.95078
41,2013-02-28,0.9508,0.95749,0.94678,0.95632
42,2013-03-01,0.95634,0.96515,0.95517,0.96132
43,2013-03-04,0.96094,0.96108,0.95314,0.95889
44,2013-03-05,0.95888,0.96558,0.95817,0.96466
45,2013-03-06,0.96465,0.97181,0.96414,0.9704
46,2013-03-07,0.97039,0.97278,0.96636,0.96742
47,2013-03-08,0.96743,0.97699,0.96627,0.97306
48,2013-03-11,0.97182,0.97534,0.97087,0.97246
49,2013-03-12,0.97245,0.97769,0.97242,0.97732
50,2013-03-13,0.97727,0.98186,0.97379,0.98057
51,2013-03-14,0.98058,0.98974,0.97957,0.983
52,2013-03-15,0.98297,0.98312,0.97348,0.97659
53,2013-03-18,0.97588,0.98453,0.97563,0.98364
54,2013-03-19,0.98365,0.98455,0.97763,0.98187
55,2013-03-20,0.98186,0.98374,0.97741,0.9799
56,2013-03-21,0.97991,0.98927,0.9787,0.9879
57,2013-03-22,0.98789,0.98823,0.98053,0.98206
58,2013-03-24,0.98351,0.98379,0.98289,0.98322
59,2013-03-25,0.98323,0.9926,0.9777,0.99169
60,2013-03-26,0.99167,0.99669,0.99081,0.9936
61,2013-03-27,0.99358,0.99732,0.99197,0.99577
62,2013-03-28,0.99576,0.99642,0.98644,0.98832
63,2013-03-29,0.9883,0.99098,0.9867,0.98882
64,2013-04-01,0.98993,0.99007,0.98502,0.98619
65,2013-04-02,0.98618,0.9925,0.98573,0.99118
66,2013-04-03,0.9912,0.99592,0.98705,0.98811
67,2013-04-04,0.98812,0.99198,0.97802,0.98033
68,2013-04-05,0.98032,0.98278,0.96611,0.97008
69,2013-04-08,0.96944,0.9741,0.96614,0.97265
70,2013-04-09,0.97266,0.98034,0.97071,0.97768
71,2013-04-10,0.97772,0.98379,0.97639,0.9829
72,2013-04-11,0.98291,0.98532,0.97949,0.98119
73,2013-04-12,0.9812,0.98254,0.97299,0.97401
74,2013-04-15,0.97341,0.97643,0.95855,0.96
75,2013-04-16,0.96001,0.96495,0.95564,0.95816
76,2013-04-17,0.95817,0.96179,0.95401,0.96005
77,2013-04-18,0.96003,0.96305,0.95668,0.96027
78,2013-04-19,0.96026,0.96411,0.9563,0.95913
79,2013-04-22,0.95745,0.96037,0.95729,0.95935
80,2013-04-23,0.95934,0.97017,0.95479,0.96938
81,2013-04-24,0.96941,0.97433,0.96694,0.97299
82,2013-04-25,0.973,0.97712,0.97134,0.97187
83,2013-04-26,0.97185,0.97481,0.96631,0.96876
84,2013-04-29,0.96735,0.97176,0.96674,0.96908
85,2013-04-30,0.96909,0.97179,0.95979,0.96339
86,2013-05-01,0.96357,0.96473,0.95146,0.95269
87,2013-05-02,0.95273,0.95908,0.94818,0.95769
88,2013-05-03,0.9577,0.96562,0.95411,0.96461
89,2013-05-06,0.96313,0.96409,0.95762,0.96167
90,2013-05-07,0.96168,0.96184,0.95407,0.95726
91,2013-05-08,0.95725,0.95854,0.94992,0.951
92,2013-05-09,0.95099,0.9619,0.94995,0.95646
93,2013-05-10,0.95643,0.96091,0.95399,0.9589
94,2013-05-13,0.95911,0.95985,0.9518,0.95256
95,2013-05-14,0.95253,0.95622,0.94712,0.95604
96,2013-05-15,0.95601,0.96145,0.95244,0.95458
97,2013-05-16,0.95456,0.95643,0.94432,0.94587
98,2013-05-17,0.94588,0.94821,0.93932,0.9459
99,2013-05-20,0.94615,0.94868,0.94462,0.9482
100,2013-05-21,0.94819,0.95241,0.94447,0.9504
101,2013-05-22,0.95039,0.95334,0.94484,0.94852
102,2013-05-23,0.9486,0.94923,0.92941,0.94415
103,2013-05-24,0.94412,0.9443,0.92523,0.92761
104,2013-05-27,0.92706,0.92928,0.92403,0.92751
105,2013-05-28,0.92747,0.94048,0.92635,0.93908
106,2013-05-29,0.93915,0.93918,0.92457,0.92606
107,2013-05-30,0.92605,0.93018,0.91902,0.92038
108,2013-05-31,0.9204,0.92289,0.91188,0.91427
109,2013-06-03,0.91847,0.92875,0.91761,0.92488
110,2013-06-04,0.92489,0.92517,0.91095,0.91324
111,2013-06-05,0.91325,0.91479,0.89394,0.89858
112,2013-06-06,0.89859,0.89911,0.88679,0.89127
113,2013-06-07,0.89128,0.89165,0.87709,0.88848
114,2013-06-10,0.88076,0.8874,0.87961,0.88324
115,2013-06-11,0.88325,0.88432,0.86446,0.8711
116,2013-06-12,0.87122,0.88697,0.87066,0.87284
117,2013-06-13,0.87287,0.88951,0.86469,0.88792
118,2013-06-14,0.88806,0.8911,0.8808,0.88125
119,2013-06-17,0.88119,0.89042,0.87978,0.87998
120,2013-06-18,0.88014,0.88296,0.86763,0.87254
121,2013-06-19,0.87256,0.87815,0.86103,0.86229
122,2013-06-20,0.862,0.86451,0.85042,0.85258
123,2013-06-21,0.85262,0.86392,0.85053,0.86101
124,2013-06-24,0.86211,0.86668,0.85489,0.86271
125,2013-06-25,0.86277,0.86957,0.85796,0.8684
126,2013-06-26,0.86815,0.8785,0.86648,0.87444
127,2013-06-27,0.87442,0.88148,0.87365,0.87627
128,2013-06-28,0.87628,0.87729,0.8619,0.86296
129,2013-07-01,0.86158,0.87479,0.86127,0.87277
130,2013-07-02,0.87279,0.87363,0.86536,0.86908
131,2013-07-03,0.86914,0.87334,0.85532,0.85962
132,2013-07-04,0.85961,0.87817,0.85902,0.87465
133,2013-07-05,0.87441,0.88046,0.87007,0.87356
134,2013-07-08,0.8736,0.88049,0.87259,0.87967
135,2013-07-09,0.87985,0.89391,0.87611,0.89199
136,2013-07-10,0.89206,0.89613,0.87764,0.87921
137,2013-07-11,0.87926,0.88266,0.8658,0.86986
138,2013-07-12,0.86978,0.87006,0.85512,0.85602
139,2013-07-15,0.85734,0.86494,0.85702,0.86235
140,2013-07-16,0.86238,0.87317,0.86129,0.86846
141,2013-07-17,0.86851,0.87066,0.86322,0.86887
142,2013-07-18,0.86892,0.8701,0.86278,0.86585
143,2013-07-19,0.86587,0.86961,0.86253,0.86282
144,2013-07-22,0.86346,0.86855,0.86176,0.86548
145,2013-07-23,0.86547,0.86913,0.8649,0.86859
146,2013-07-24,0.86858,0.87059,0.85625,0.85858
147,2013-07-25,0.85853,0.86154,0.85534,0.85924
148,2013-07-26,0.85923,0.8626,0.85705,0.85959
149,2013-07-29,0.85838,0.86122,0.85512,0.85669
150,2013-07-30,0.85672,0.85713,0.84122,0.84221
151,2013-07-31,0.84213,0.84346,0.8292,0.83158
152,2013-08-01,0.83159,0.83692,0.82592,0.83565
153,2013-08-02,0.83568,0.83764,0.82604,0.82689
154,2013-08-05,0.82819,0.83071,0.82271,0.8277
155,2013-08-06,0.8277,0.83521,0.82473,0.83151
156,2013-08-07,0.83142,0.8323,0.82611,0.82918
157,2013-08-08,0.82918,0.83902,0.82766,0.83732
