,Date,Open,High,Low,Close
0,2013-01-02,90.099,91.736,89.827,91.709
1,2013-01-03,91.711,91.738,91.098,91.276
2,2013-01-04,91.279,92.456,91.273,92.361
3,2013-01-07,92.301,92.823,91.745,92.204
4,2013-01-08,92.201,92.233,91.17,91.407
5,2013-01-09,91.408,92.507,91.202,92.368
6,2013-01-10,92.365,94.076,92.331,94.067
7,2013-01-11,94.066,94.51,93.768,93.942
8,2013-01-14,94.196,94.623,94.043,94.549
9,2013-01-15,94.546,94.637,93.08,93.788
10,2013-01-16,93.784,93.86,92.449,93.411
11,2013-01-17,93.41,94.985,92.527,94.766
12,2013-01-18,94.767,95.001,94.15,94.66
13,2013-01-21,94.639,94.81,93.92,94.209
14,2013-01-22,94.21,94.916,93.281,93.706
15,2013-01-23,93.705,93.848,92.784,93.497
16,2013-01-24,93.498,94.662,93.003,94.382
17,2013-01-25,94.379,95.068,94.324,94.715
18,2013-01-28,94.808,94.996,94.073,94.627
19,2013-01-29,94.625,95.018,94.166,95.008
20,2013-01-30,95.006,95.44,94.694,94.855
21,2013-01-31,94.854,95.648,94.245,95.587
22,2013-02-01,95.584,96.706,95.388,96.582
23,2013-02-04,96.706,97.053,96.154,96.402
24,2013-02-05,96.401,97.415,95.934,97.256
25,2013-02-06,97.255,97.386,96.085,96.595
26,2013-02-07,96.593,97.017,95.813,96.247
27,2013-02-08,96.248,96.441,95.122,95.624
28,2013-02-11,95.623,96.867,95.158,96.703
29,2013-02-12,96.702,96.86,95.767,96.318
30,2013-02-13,96.317,96.841,96.046,96.821
31,2013-02-14,96.823,96.95,95.968,96.19
32,2013-02-15,96.188,96.666,95.511,96.323
33,2013-02-18,96.405,96.895,96.386,96.809
34,2013-02-19,96.807,96.924,96.449,96.88
35,2013-02-20,96.877,97.055,95.824,95.937
36,2013-02-21,95.936,96.182,95.037,95.362
37,2013-02-22,95.37,96.542,95.277,96.38
38,2013-02-25,97.396,97.427,93.551,94.169
39,2013-02-26,94.164,95.287,93.03,94.058
40,2013-02-27,94.06,94.552,92.944,94.361
41,2013-02-28,94.363,95.093,94.066,94.528
42,2013-03-01,94.529,95.593,94.404,95.468
43,2013-03-04,95.484,95.507,94.421,95.287
44,2013-03-05,95.286,95.757,95.015,95.668
45,2013-03-06,95.666,96.366,95.603,96.238
46,2013-03-07,96.235,97.574,95.994,97.335
47,2013-03-08,97.336,99.03,97.314,98.235
48,2013-03-11,98.006,99.012,97.982,98.945
49,2013-03-12,98.946,99.546,98.45,99.05
50,2013-03-13,99.048,99.196,98.526,98.925
51,2013-03-14,98.926,99.953,98.797,99.784
52,2013-03-15,99.781,99.82,98.929,99.153
53,2013-03-18,97.884,99.335,97.714,99.081
54,2013-03-19,99.082,99.442,98.16,98.594
55,2013-03-20,98.597,99.76,98.266,99.637
56,2013-03-21,99.635,99.675,98.689,99.128
57,2013-03-22,99.127,99.198,98.33,98.633
58,2013-03-24,98.674,98.771,98.661,98.669
59,2013-03-25,98.671,99.375,97.702,98.441
60,2013-03-26,98.443,99.166,98.228,99.059
61,2013-03-27,99.057,99.269,97.968,98.551
62,2013-03-28,98.55,98.648,97.795,98.051
63,2013-03-29,98.05,98.186,97.816,98.133
64,2013-04-01,98.227,98.23,97.033,97.156
65,2013-04-02,97.155,97.838,96.893,97.613
66,2013-04-03,97.614,98.084,96.972,97.298
67,2013-04-04,97.312,100.56,96.956,100.515
68,2013-04-05,100.51,101.713,99.771,101.266
69,2013-04-08,101.808,103.464,101.66,103.431
70,2013-04-09,103.43,104.331,102.818,103.842
71,2013-04-10,103.841,105.244,103.692,105.173
72,2013-04-11,105.165,105.407,104.376,105.089
73,2013-04-12,105.09,105.192,103.054,103.37
74,2013-04-15,103.205,103.814,99.191,99.765
75,2013-04-16,99.764,101.848,98.725,101.329
