,Date,Open,High,Low,Close
0,2013-01-02,87.255,88.658,87.021,88.62
1,2013-01-03,88.622,88.634,87.952,88.287
2,2013-01-04,88.29,89.607,88.258,89.223
3,2013-01-07,89.274,89.543,88.676,89.01
4,2013-01-08,89.009,89.047,88.047,88.188
5,2013-01-09,88.19,89.14,87.952,88.944
6,2013-01-10,88.941,90.27,88.933,90.264
7,2013-01-11,90.263,91.011,90.122,90.523
8,2013-01-14,90.691,91.104,90.282,90.923
9,2013-01-15,90.921,91.107,89.547,90.186
10,2013-01-16,90.185,90.279,88.93,89.607
11,2013-01-17,89.605,91.456,89.25,91.147
12,2013-01-18,91.146,91.383,90.256,90.814
13,2013-01-21,90.783,90.93,89.977,90.212
14,2013-01-22,90.213,90.829,88.902,89.401
15,2013-01-23,89.4,89.476,88.446,88.647
16,2013-01-24,88.648,90.276,88.358,90.07
17,2013-01-25,90.068,90.618,89.9,90.32
18,2013-01-28,90.423,90.566,89.659,90.26
19,2013-01-29,90.259,90.619,89.75,90.604
20,2013-01-30,90.603,91.176,90.517,90.936
21,2013-01-31,90.937,91.969,90.437,91.933
22,2013-02-01,91.931,93.164,91.795,93.118
23,2013-02-04,93.054,93.559,92.318,92.451
24,2013-02-05,92.45,94.034,92.028,94.015
25,2013-02-06,94.005,94.322,93.392,93.997
26,2013-02-07,93.996,94.479,93.234,93.799
27,2013-02-08,93.798,93.927,92.041,92.494
28,2013-02-11,92.463,94.012,91.964,93.834
29,2013-02-12,93.832,93.925,92.666,93.233
30,2013-02-13,93.232,93.392,92.604,93.201
31,2013-02-14,93.203,93.534,92.544,92.75
32,2013-02-15,92.753,93.262,92.015,92.873
33,2013-02-18,92.98,93.513,92.782,92.93
34,2013-02-19,92.929,92.946,92.119,92.471
35,2013-02-20,92.472,92.704,91.886,91.985
36,2013-02-21,91.996,92.271,91.012,91.378
37,2013-02-22,91.386,91.902,90.83,91.444
38,2013-02-25,92.447,92.467,88.494,89.453
39,2013-02-26,89.448,90.388,88.557,89.605
40,2013-02-27,89.606,90.271,88.711,90.139
41,2013-02-28,90.134,90.566,89.486,89.776
42,2013-03-01,89.777,91.158,89.617,91.106
43,2013-03-04,91.092,91.136,90.413,90.962
44,2013-03-05,90.961,91.073,90.508,90.815
45,2013-03-06,90.812,91.221,90.482,91.112
46,2013-03-07,91.111,92.276,90.854,92.074
47,2013-03-08,92.076,94.255,92.053,93.308
48,2013-03-11,93.292,93.895,93.265,93.839
49,2013-03-12,93.838,94.208,93.019,93.519
50,2013-03-13,93.521,93.738,93.023,93.44
51,2013-03-14,93.444,94.131,93.147,93.991
52,2013-03-15,93.992,94.338,93.234,93.43
53,2013-03-18,92.446,93.519,92.11,93.225
54,2013-03-19,93.226,93.65,92.173,92.566
55,2013-03-20,92.567,93.74,92.308,93.575
56,2013-03-21,93.573,93.674,92.23,92.664
57,2013-03-22,92.665,92.879,91.776,92.314
58,2013-03-24,92.305,92.392,92.305,92.331
59,2013-03-25,92.334,93.109,91.433,92.15
60,2013-03-26,92.149,93.03,91.869,92.977
61,2013-03-27,92.976,93.254,92.306,92.829
62,2013-03-28,92.828,92.901,92.263,92.644
63,2013-03-29,92.643,92.764,92.403,92.548
64,2013-04-01,92.608,92.74,91.547,91.661
65,2013-04-02,91.664,92.194,91.161,92.047
66,2013-04-03,92.048,92.309,91.342,91.664
67,2013-04-04,91.677,95.187,91.405,95.093
68,2013-04-05,95.091,96.233,93.886,95.818
69,2013-04-08,96.434,97.705,96.421,97.701
70,2013-04-09,97.706,97.973,96.971,97.395
71,2013-04-10,97.394,98.428,97.346,98.346
72,2013-04-11,98.338,98.849,97.854,98.617
73,2013-04-12,98.616,98.742,96.72,97.052
74,2013-04-15,96.83,97.324,93.928,94.315
75,2013-04-16,94.316,96.11,93.432,95.515
76,2013-04-17,95.513,96.238,94.527,95.55
77,2013-04-18,95.549,96.218,94.979,95.621
78,2013-04-19,95.614,97.127,95.612,96.911
79,2013-04-22,97.285,97.426,96.233,96.714
80,2013-04-23,96.716,96.979,95.767,96.938
81,2013-04-24,96.937,97.136,96.562,96.989
82,2013-04-25,96.99,97.562,96.663,97.266
83,2013-04-26,97.269,97.417,95.839,96.408
84,2013-04-29,96.287,96.967,95.797,96.636
85,2013-04-30,96.631,96.933,96.138,96.699
86,2013-05-01,96.7,97.068,96.167,96.558
87,2013-05-02,96.554,97.723,96.248,96.891
88,2013-05-03,96.888,98.355,96.718,98.192
89,2013-05-06,98.386,98.713,98.222,98.616
90,2013-05-07,98.615,98.873,98.113,98.531
91,2013-05-08,98.53,98.729,98.041,98.71
92,2013-05-09,98.703,100.243,98.29,99.892
93,2013-05-10,99.893,100.938,99.852,100.564
94,2013-05-13,100.654,101.017,100.285,100.719
95,2013-05-14,100.718,100.866,99.978,100.562
96,2013-05-15,100.563,100.788,100.046,100.637
97,2013-05-16,100.642,100.761,100.215,100.282
98,2013-05-17,100.281,100.41,99.342,100.364
99,2013-05-20,99.89,100.121,99.141,99.824
100,2013-05-21,99.826,100.176,99.374,99.784
101,2013-05-22,99.823,100.273,98.904,99.465
102,2013-05-23,99.477,99.668,97.289,98.949
103,2013-05-24,98.947,99.338,97.372,98.152
104,2013-05-27,98.007,98.149,97.512,97.647
105,2013-05-28,97.646,98.984,97.632,98.419
106,2013-05-29,98.42,98.467,97.006,97.674
107,2013-05-30,97.672,98.139,97.091,97.79
108,2013-05-31,97.777,98.232,96.756,96.857
109,2013-06-03,96.79,97.129,95.999,96.816
110,2013-06-04,96.817,97.331,96.501,96.68
111,2013-06-05,96.679,97.041,95.569,95.735
112,2013-06-06,95.739,96.113,93.96,94.459
113,2013-06-07,94.457,95.704,92.927,95.625
114,2013-06-10,95.716,97.377,95.644,96.844
115,2013-06-11,96.846,97.134,93.69,94.201
116,2013-06-12,94.2,95.313,93.253,93.981
117,2013-06-13,93.984,94.079,91.775,93.835
118,2013-06-14,93.845,94.295,92.295,92.507
119,2013-06-17,92.517,93.657,92.465,92.745
120,2013-06-18,92.744,93.788,92.652,93.317
121,2013-06-19,93.316,94.534,92.83,93.854
122,2013-06-20,93.869,95.09,93.445,93.639
123,2013-06-21,93.648,94.541,92.891,93.583
124,2013-06-24,93.383,93.982,92.147,93.032
125,2013-06-25,93.028,93.307,92.466,93.0
126,2013-06-26,93.029,93.408,92.771,93.269
127,2013-06-27,93.274,94.193,93.204,93.835
128,2013-06-28,93.837,94.555,93.822,94.248
129,2013-07-01,94.202,95.072,94.189,94.916
130,2013-07-02,94.91,95.64,94.406,95.402
131,2013-07-03,95.401,95.575,94.178,95.076
132,2013-07-04,95.075,95.442,94.519,95.111
133,2013-07-05,95.112,95.747,94.734,95.642
134,2013-07-08,95.631,95.957,95.28,95.593
135,2013-07-09,95.595,96.153,95.397,96.071
136,2013-07-10,96.073,96.11,94.863,95.212
137,2013-07-11,95.213,95.786,94.416,95.358
138,2013-07-12,95.36,95.994,95.093,95.378
139,2013-07-15,95.637,96.335,95.284,95.732
140,2013-07-16,95.737,95.848,95.276,95.529
141,2013-07-17,95.533,96.094,95.22,95.658
142,2013-07-18,95.659,96.869,95.575,96.731
143,2013-07-19,96.716,97.065,96.288,97.03
144,2013-07-22,96.864,97.046,95.883,96.405
145,2013-07-23,96.407,97.077,95.901,96.613
146,2013-07-24,96.614,97.628,96.467,97.167
147,2013-07-25,97.172,97.317,96.348,96.554
148,2013-07-26,96.553,96.628,95.246,95.565
149,2013-07-29,95.336,95.595,95.05,95.384
150,2013-07-30,95.385,95.778,94.971,95.095
151,2013-07-31,95.092,95.674,94.68,95.217
152,2013-08-01,95.211,96.296,94.953,96.176
153,2013-08-02,96.174,96.284,95.073,95.173
154,2013-08-05,95.132,95.338,94.608,94.819
155,2013-08-06,94.819,95.109,93.956,94.13
156,2013-08-07,94.128,94.249,92.364,92.385
157,2013-08-08,92.384,93.649,92.298,93.559
158,2013-08-09,93.565,93.84,92.986,93.47
159,2013-08-12,93.449,94.058,93.263,93.98
160,2013-08-13,93.984,95.072,93.939,94.901
161,2013-08-14,94.901,95.161,94.546,94.837
162,2013-08-15,94.835,95.251,94.189,94.431
163,2013-08-16,94.454,94.839,93.991,94.313
164,2013-08-19,94.338,94.991,94.226,94.25
165,2013-08-20,94.32,94.457,93.27,93.536
166,2013-08-21,93.537,93.799,93.175,93.181
167,2013-08-22,93.191,94.111,93.097,93.832
168,2013-08-23,93.822,94.101,93.525,93.989
169,2013-08-26,93.722,94.077,93.455,93.78
170,2013-08-27,93.776,93.807,92.359,92.6
171,2013-08-28,92.6,93.349,92.247,93.051
172,2013-08-29,93.051,93.75,92.911,93.318
173,2013-08-30,93.335,93.432,92.929,93.097
174,2013-09-02,93.423,94.332,93.248,94.126
175,2013-09-03,94.117,94.839,94.053,94.479
176,2013-09-04,94.481,95.116,94.338,94.972
177,2013-09-05,94.97,95.41,94.86,95.261
178,2013-09-06,95.261,95.638,94.745,95.195
179,2013-09-09,95.684,96.103,95.576,95.973
180,2013-09-10,95.972,97.105,95.912,96.937
181,2013-09-11,96.94,97.172,96.561,96.762
182,2013-09-12,96.763,96.917,95.891,96.407
183,2013-09-13,96.41,96.688,95.853,95.951
184,2013-09-16,95.592,96.096,95.474,95.923
185,2013-09-17,95.922,96.666,95.896,96.246
186,2013-09-18,96.245,96.395,95.641,95.769
187,2013-09-19,95.768,97.463,95.631,96.833
188,2013-09-20,96.823,96.914,96.3,96.326
189,2013-09-23,96.235,96.428,95.824,96.063
190,2013-09-24,96.062,96.443,95.497,95.833
191,2013-09-25,95.826,95.964,95.331,95.412
192,2013-09-26,95.411,96.067,95.232,95.965
193,2013-09-27,95.966,96.035,95.15,95.247
194,2013-09-30,94.593,95.623,94.568,95.244
195,2013-10-01,95.244,95.59,94.669,94.845
196,2013-10-02,94.879,94.909,93.954,94.154
197,2013-10-03,94.151,94.742,93.888,94.074
198,2013-10-04,94.071,94.687,93.842,94.644
199,2013-10-07,94.343,94.5,93.67,93.732
200,2013-10-08,93.734,94.298,93.368,93.393
201,2013-10-09,93.394,93.926,93.305,93.609
202,2013-10-10,93.609,94.547,93.6,94.366
203,2013-10-11,94.366,95.215,94.088,95.199
204,2013-10-14,94.715,95.267,94.624,95.153
205,2013-10-15,95.153,95.328,94.4,94.526
206,2013-10-16,94.526,95.635,94.499,95.582
207,2013-10-17,95.584,95.835,94.841,95.111
208,2013-10-18,95.109,95.298,94.811,94.967
209,2013-10-21,95.037,95.413,94.976,95.266
210,2013-10-22,95.266,95.718,95.128,95.368
211,2013-10-23,95.366,95.403,93.546,93.753
212,2013-10-24,93.752,94.087,93.263,93.324
213,2013-10-25,93.322,93.49,92.878,93.174
214,2013-10-27,93.493,93.511,93.372,93.405
215,2013-10-28,93.407,93.591,93.285,93.516
216,2013-10-29,93.516,93.928,93.23,93.793
217,2013-10-30,93.792,94.1,93.712,93.943
218,2013-10-31,93.944,94.423,93.69,94.238
219,2013-11-01,94.24,94.735,93.782,94.598
220,2013-11-04,94.798,94.882,94.516,94.549
221,2013-11-05,94.55,94.637,93.921,94.182
222,2013-11-06,94.178,94.787,94.087,94.672
223,2013-11-07,94.675,95.202,93.445,93.739
224,2013-11-08,93.739,94.628,93.688,94.482
225,2013-11-11,94.577,94.756,94.389,94.627
226,2013-11-12,94.627,95.155,94.615,94.901
227,2013-11-13,94.906,95.068,94.671,94.859
228,2013-11-14,94.85,95.565,94.831,95.548
229,2013-11-15,95.545,96.002,95.488,95.935
230,2013-11-18,95.997,96.148,95.625,95.85
231,2013-11-19,95.85,95.943,95.409,95.604
232,2013-11-20,95.616,95.944,95.403,95.659
233,2013-11-21,95.66,96.441,95.616,96.149
234,2013-11-22,96.14,96.325,95.682,96.264
235,2013-11-25,96.134,96.495,95.929,96.407
236,2013-11-26,96.409,96.506,95.886,96.027
237,2013-11-27,96.027,96.657,95.929,96.378
238,2013-11-28,96.391,96.733,96.257,96.653
239,2013-11-29,96.65,96.835,96.349,96.43
240,2013-12-02,96.421,96.993,96.217,96.689
241,2013-12-03,96.682,97.076,95.743,96.227
242,2013-12-04,96.229,96.443,95.158,95.785
243,2013-12-05,95.788,95.96,95.374,95.514
244,2013-12-06,95.512,96.741,95.387,96.67
245,2013-12-09,96.708,97.173,96.529,97.144
246,2013-12-10,97.137,97.25,96.626,96.964
247,2013-12-11,96.962,97.04,96.286,96.702
248,2013-12-12,96.699,97.362,96.572,97.118
249,2013-12-13,97.12,97.592,96.812,97.447
250,2013-12-16,97.426,97.516,96.937,97.193
251,2013-12-17,97.193,97.453,96.63,96.763
252,2013-12-18,96.766,97.57,96.477,97.43
253,2013-12-19,97.43,97.762,96.807,97.728
254,2013-12-20,97.741,97.989,97.184,97.765
255,2013-12-23,97.679,98.316,97.574,98.128
256,2013-12-24,98.092,98.336,97.991,98.141
257,2013-12-26,98.455,98.669,98.284,98.355
258,2013-12-27,98.386,98.637,98.01,98.177
259,2013-12-30,98.218,98.799,98.069,98.73
260,2013-12-31,98.728,99.075,98.421,98.948
261,2014-01-02,99.04,99.136,98.07,98.16
262,2014-01-03,98.161,98.613,97.692,98.51
263,2014-01-06,98.49,98.677,97.476,97.787
264,2014-01-07,97.784,97.99,96.935,97.113
265,2014-01-08,97.111,97.244,96.764,96.858
266,2014-01-09,96.83,96.956,96.307,96.656
267,2014-01-10,96.658,96.809,95.085,95.567
268,2014-01-13,95.271,95.445,94.559,94.782
269,2014-01-14,94.782,95.225,94.654,95.161
270,2014-01-15,95.156,95.658,94.942,95.589
271,2014-01-16,95.577,95.892,95.281,95.44
272,2014-01-17,95.438,95.486,94.931,95.084
273,2014-01-20,94.976,95.214,94.79,95.1
274,2014-01-21,95.095,95.563,94.756,95.046
275,2014-01-22,95.025,95.343,94.148,94.228
276,2014-01-23,94.231,94.341,92.404,92.986
277,2014-01-24,92.986,93.244,92.012,92.161
278,2014-01-27,92.306,93.214,91.895,92.22
279,2014-01-28,92.22,92.873,91.835,92.25
280,2014-01-29,92.259,92.796,91.265,91.549
281,2014-01-30,91.547,92.186,91.237,92.023
282,2014-01-31,92.014,92.175,91.054,91.652
283,2014-02-03,91.697,92.199,90.772,90.779
284,2014-02-04,90.812,91.956,90.776,91.691
285,2014-02-05,91.689,91.8,91.03,91.502
286,2014-02-06,91.503,92.351,91.098,92.204
287,2014-02-07,92.203,93.371,91.991,92.714
288,2014-02-10,92.819,92.961,92.261,92.454
289,2014-02-11,92.437,93.287,92.09,93.169
290,2014-02-12,93.171,93.396,92.88,93.157
291,2014-02-13,93.156,93.266,92.279,93.042
292,2014-02-14,93.049,93.316,92.569,92.634
293,2014-02-17,92.461,93.001,92.326,92.916
294,2014-02-18,92.917,93.7,92.871,93.463
295,2014-02-19,93.454,93.558,92.193,92.295
296,2014-02-20,92.294,92.438,91.785,92.112
297,2014-02-21,92.1,92.37,91.57,92.219
298,2014-02-24,92.217,92.716,91.856,92.626
299,2014-02-25,92.638,92.774,92.003,92.199
300,2014-02-26,92.198,92.424,91.877,91.948
301,2014-02-27,91.944,92.039,91.344,91.802
302,2014-02-28,91.774,92.445,91.239,91.974
303,2014-03-03,91.53,91.855,91.093,91.558
304,2014-03-04,91.548,92.15,91.466,92.109
305,2014-03-05,92.109,92.766,92.055,92.719
306,2014-03-06,92.72,94.078,92.681,93.797
307,2014-03-07,93.791,93.894,92.991,93.073
308,2014-03-10,92.959,93.159,92.554,92.96
309,2014-03-11,92.961,93.25,92.554,92.703
310,2014-03-12,92.702,92.801,92.0,92.386
311,2014-03-13,92.385,92.906,91.752,92.006
312,2014-03-14,92.006,92.018,91.166,91.207
313,2014-03-17,91.338,92.156,91.163,92.008
314,2014-03-18,92.009,92.205,90.917,91.054
315,2014-03-19,91.055,91.355,90.648,91.066
316,2014-03-20,91.068,91.223,90.769,91.077
317,2014-03-21,91.078,91.492,90.64,91.078
318,2014-03-24,91.04,91.379,90.966,91.307
319,2014-03-25,91.307,91.684,91.115,91.552
320,2014-03-26,91.552,92.017,91.545,91.913
321,2014-03-27,91.914,92.729,91.651,92.629
322,2014-03-28,92.631,93.136,92.513,92.942
323,2014-03-31,93.001,93.892,92.916,93.377
324,2014-04-01,93.386,94.006,93.231,93.989
325,2014-04-02,93.984,94.242,93.895,94.116
326,2014-04-03,94.113,94.464,94.067,94.132
327,2014-04-04,94.129,94.876,93.931,94.064
328,2014-04-07,93.991,94.195,93.656,93.893
329,2014-04-08,93.894,93.973,92.898,93.156
330,2014-04-09,93.152,93.842,93.123,93.719
331,2014-04-10,93.711,93.848,92.762,92.798
332,2014-04-11,92.8,93.159,92.322,92.541
333,2014-04-14,92.51,92.986,92.268,92.879
334,2014-04-15,92.879,92.954,92.362,92.812
335,2014-04-16,92.805,93.273,92.693,92.804
336,2014-04-17,92.8,93.086,92.57,93.007
337,2014-04-18,93.011,93.146,92.839,92.853
338,2014-04-21,92.853,93.242,92.853,93.147
339,2014-04-22,93.13,93.203,92.92,93.029
340,2014-04-23,93.025,93.088,92.544,92.901
341,2014-04-24,92.912,93.088,92.55,92.804
342,2014-04-25,92.804,92.943,92.369,92.523
343,2014-04-28,92.491,93.101,92.425,92.882
344,2014-04-29,92.881,93.771,92.88,93.759
345,2014-04-30,93.741,93.765,93.038,93.246
346,2014-05-01,93.248,93.371,92.985,93.361
347,2014-05-02,93.355,93.699,93.004,93.122
348,2014-05-05,92.979,93.259,92.71,93.18
349,2014-05-06,93.189,93.443,93.004,93.272
350,2014-05-07,93.304,93.532,93.172,93.467
351,2014-05-08,93.47,93.922,93.342,93.832
352,2014-05-09,93.829,94.036,93.225,93.421
353,2014-05-12,93.411,93.847,93.365,93.697
354,2014-05-13,93.685,93.898,93.607,93.753
355,2014-05-14,93.755,93.777,93.295,93.542
356,2014-05-15,93.542,93.964,93.047,93.266
357,2014-05-16,93.266,93.512,93.132,93.43
358,2014-05-19,93.424,93.539,92.984,93.292
359,2014-05-20,93.294,93.408,92.734,92.866
360,2014-05-21,92.863,92.94,92.462,92.874
361,2014-05-22,92.873,93.477,92.808,93.381
362,2014-05-23,93.374,93.856,93.228,93.825
363,2014-05-26,93.705,93.881,93.697,93.832
364,2014-05-27,93.828,94.045,93.804,93.886
365,2014-05-28,93.886,93.959,93.491,93.619
366,2014-05-29,93.604,93.925,93.332,93.906
367,2014-05-30,93.902,93.915,93.52,93.8
368,2014-06-02,93.881,94.051,93.635,93.901
369,2014-06-03,93.893,93.994,93.695,93.939
370,2014-06-04,93.939,93.984,93.606,93.874
371,2014-06-05,93.885,93.962,93.433,93.712
372,2014-06-06,93.701,93.845,93.417,93.724
373,2014-06-09,93.713,94.085,93.68,93.981
374,2014-06-10,93.985,94.034,93.67,93.845
375,2014-06-11,93.84,93.92,93.53,93.896
376,2014-06-12,93.881,94.026,93.586,93.656
377,2014-06-13,93.656,94.043,93.628,93.988
378,2014-06-16,93.954,93.992,93.556,93.856
379,2014-06-17,93.857,94.185,93.818,94.016
380,2014-06-18,94.017,94.115,93.757,94.016
381,2014-06-19,94.017,94.254,93.951,94.205
382,2014-06-20,94.203,94.977,94.099,94.846
383,2014-06-23,94.768,95.075,94.768,94.936
384,2014-06-24,94.937,95.141,94.832,94.886
385,2014-06-25,94.883,95.021,94.733,94.993
386,2014-06-26,94.994,95.161,94.704,95.137
387,2014-06-27,95.137,95.145,94.74,95.011
388,2014-06-30,94.997,95.116,94.749,94.925
389,2014-07-01,94.905,95.493,94.875,95.453
390,2014-07-02,95.456,95.571,95.352,95.392
391,2014-07-03,95.393,96.206,95.359,96.061
