,Date,Open,High,Low,Close
0,2013-01-02,94.894,96.002,94.505,95.125
1,2013-01-03,95.126,95.164,93.957,94.11
2,2013-01-04,94.109,95.479,94.101,95.326
3,2013-01-07,95.28,95.566,94.373,95.264
4,2013-01-08,95.262,95.325,93.994,94.163
5,2013-01-09,94.164,95.121,93.913,94.941
6,2013-01-10,94.939,97.106,94.916,97.089
7,2013-01-11,97.083,97.917,96.759,97.593
8,2013-01-14,97.806,98.198,96.85,97.025
9,2013-01-15,97.019,97.227,94.962,95.254
10,2013-01-16,95.25,95.352,94.346,94.904
11,2013-01-17,94.903,96.577,94.543,96.347
12,2013-01-18,96.345,96.666,95.661,96.418
13,2013-01-21,96.31,96.571,95.725,96.062
14,2013-01-22,96.06,96.505,94.954,95.438
15,2013-01-23,95.437,95.544,94.681,95.309
16,2013-01-24,95.311,97.48,95.009,97.22
17,2013-01-25,97.216,98.624,97.083,98.06
18,2013-01-28,98.188,98.357,97.549,98.066
19,2013-01-29,98.062,98.624,97.559,98.427
20,2013-01-30,98.425,100.131,98.365,99.959
21,2013-01-31,99.96,100.771,99.602,100.733
22,2013-02-01,100.738,102.6,100.612,102.222
23,2013-02-04,102.121,102.37,101.488,101.668
24,2013-02-05,101.662,103.121,101.137,103.051
25,2013-02-06,103.054,103.633,102.096,102.851
26,2013-02-07,102.876,103.464,101.308,101.927
27,2013-02-08,101.925,102.048,100.497,101.032
28,2013-02-11,101.005,102.723,100.627,102.459
29,2013-02-12,102.458,102.987,101.412,101.903
30,2013-02-13,101.902,102.25,101.11,101.785
31,2013-02-14,101.784,102.063,100.521,100.795
32,2013-02-15,100.797,101.602,99.95,101.4
33,2013-02-18,101.511,102.136,101.439,101.717
34,2013-02-19,101.715,101.735,101.042,101.39
35,2013-02-20,101.391,101.863,100.782,100.91
36,2013-02-21,100.911,101.166,99.492,99.982
37,2013-02-22,99.99,100.56,99.759,100.462
38,2013-02-25,101.685,101.808,97.407,98.474
39,2013-02-26,98.478,99.483,97.722,98.664
40,2013-02-27,98.665,99.296,97.932,99.195
41,2013-02-28,99.179,99.731,98.633,98.795
42,2013-03-01,98.796,99.396,98.182,99.258
43,2013-03-04,99.315,99.417,98.867,99.322
44,2013-03-05,99.323,99.389,98.733,99.123
45,2013-03-06,99.125,99.269,98.762,99.123
46,2013-03-07,99.121,100.806,98.891,100.561
47,2013-03-08,100.56,101.847,100.04,100.904
48,2013-03-11,100.793,101.723,100.75,101.696
49,2013-03-12,101.698,101.971,100.85,101.297
50,2013-03-13,101.303,101.454,100.706,100.834
51,2013-03-14,100.835,101.532,100.496,101.459
52,2013-03-15,101.454,102.262,101.239,101.48
53,2013-03-18,100.249,101.087,99.751,100.678
54,2013-03-19,100.679,101.199,99.905,100.364
55,2013-03-20,100.366,101.888,100.04,101.629
56,2013-03-21,101.628,101.668,99.869,100.292
57,2013-03-22,100.293,100.989,99.473,100.384
58,2013-03-24,100.278,100.37,100.277,100.303
59,2013-03-25,100.302,101.338,98.535,99.216
60,2013-03-26,99.218,99.731,98.974,99.647
61,2013-03-27,99.644,99.927,98.5,98.92
62,2013-03-28,98.919,99.296,98.31,99.16
63,2013-03-29,99.161,99.292,98.84,99.193
64,2013-04-01,99.176,99.3,98.205,98.467
65,2013-04-02,98.47,98.678,97.933,98.433
66,2013-04-03,98.431,98.678,98.073,98.419
67,2013-04-04,98.433,102.507,98.114,102.48
68,2013-04-05,102.481,104.805,101.904,104.336
69,2013-04-08,104.965,106.286,104.945,106.286
70,2013-04-09,106.285,106.663,105.404,106.159
71,2013-04-10,106.158,107.074,106.072,106.949
72,2013-04-11,106.94,107.412,106.418,107.05
73,2013-04-12,107.051,107.198,105.717,106.075
74,2013-04-15,105.971,106.296,103.33,103.869
75,2013-04-16,103.868,106.019,102.854,105.7
76,2013-04-17,105.698,106.739,104.087,105.162
77,2013-04-18,105.161,105.904,104.578,105.215
78,2013-04-19,105.222,106.94,105.189,106.569
79,2013-04-22,107.088,107.167,105.617,106.196
80,2013-04-23,106.197,106.336,104.562,105.198
81,2013-04-24,105.194,105.504,104.477,105.056
82,2013-04-25,105.057,105.254,104.622,105.016
83,2013-04-26,105.019,105.198,103.619,103.974
84,2013-04-29,104.022,104.754,103.367,104.344
85,2013-04-30,104.341,104.954,103.857,104.817
86,2013-05-01,104.798,105.281,104.407,104.994
87,2013-05-02,104.992,105.983,104.419,104.723
88,2013-05-03,104.725,106.356,104.653,105.826
89,2013-05-06,106.059,106.101,105.639,105.822
90,2013-05-07,105.821,105.921,104.953,105.247
91,2013-05-08,105.246,105.86,104.831,105.804
92,2013-05-09,105.803,106.349,105.321,106.077
93,2013-05-10,106.08,106.563,105.716,106.159
94,2013-05-13,106.181,106.608,105.922,106.306
95,2013-05-14,106.305,106.624,105.767,105.861
96,2013-05-15,105.862,106.023,105.313,105.951
97,2013-05-16,105.956,106.35,105.446,105.958
98,2013-05-17,105.957,106.231,105.275,106.098
99,2013-05-20,105.879,106.074,105.062,105.716
100,2013-05-21,105.719,106.208,105.388,105.623
101,2013-05-22,105.624,106.212,104.962,105.411
