,Date,Open,High,Low,Close
0,2013-01-02,140.91,142.715,140.526,141.903
1,2013-01-03,141.902,141.954,140.143,140.48
2,2013-01-04,140.481,141.774,140.39,141.655
3,2013-01-07,141.598,142.053,140.467,141.439
4,2013-01-08,141.434,141.501,139.44,139.705
5,2013-01-09,139.707,140.988,139.368,140.768
6,2013-01-10,140.764,143.512,140.745,143.502
7,2013-01-11,143.5,144.384,142.981,143.827
8,2013-01-14,144.021,144.768,142.813,143.815
9,2013-01-15,143.811,144.148,141.614,142.609
10,2013-01-16,142.608,142.772,140.478,141.431
11,2013-01-17,141.427,144.222,140.837,143.709
12,2013-01-18,143.712,144.079,142.484,142.897
13,2013-01-21,142.771,143.034,141.727,141.81
14,2013-01-22,141.811,142.786,139.752,140.474
15,2013-01-23,140.475,140.807,139.226,140.371
16,2013-01-24,140.374,142.887,139.84,142.589
17,2013-01-25,142.587,144.208,142.449,143.551
18,2013-01-28,143.465,143.945,142.15,142.564
19,2013-01-29,142.558,143.106,141.858,142.946
20,2013-01-30,142.944,144.171,142.863,143.876
21,2013-01-31,143.877,145.487,143.408,145.39
22,2013-02-01,145.387,146.45,144.867,145.663
23,2013-02-04,145.569,146.574,145.169,145.558
24,2013-02-05,145.556,147.218,144.82,146.584
25,2013-02-06,146.577,147.213,145.914,146.591
26,2013-02-07,146.586,147.936,145.975,147.094
27,2013-02-08,147.089,147.264,145.024,146.418
28,2013-02-11,146.488,147.891,145.836,147.655
29,2013-02-12,147.657,147.75,145.245,146.375
30,2013-02-13,146.374,146.572,144.938,145.118
31,2013-02-14,145.121,145.347,143.545,143.859
32,2013-02-15,143.86,145.603,142.728,145.054
33,2013-02-18,145.244,145.857,144.992,145.267
34,2013-02-19,145.265,145.338,143.852,144.309
35,2013-02-20,144.31,144.703,142.47,142.496
36,2013-02-21,142.493,142.922,141.297,142.001
37,2013-02-22,142.015,143.015,141.529,141.622
38,2013-02-25,142.516,142.763,137.859,139.184
39,2013-02-26,139.18,140.551,137.805,139.066
40,2013-02-27,139.067,139.911,138.113,139.779
41,2013-02-28,139.781,140.853,139.438,140.319
42,2013-03-01,140.321,140.881,139.08,140.69
43,2013-03-04,140.82,141.259,140.182,141.25
44,2013-03-05,141.249,141.411,140.545,141.074
45,2013-03-06,141.077,141.462,140.665,141.233
46,2013-03-07,141.232,142.975,140.537,142.325
47,2013-03-08,142.327,144.738,142.264,143.222
48,2013-03-11,143.153,143.756,142.78,143.649
49,2013-03-12,143.652,144.101,141.978,142.964
50,2013-03-13,142.967,143.782,142.607,143.311
51,2013-03-14,143.317,144.996,142.994,144.943
52,2013-03-15,144.94,145.839,143.769,143.972
53,2013-03-18,143.001,144.314,142.325,143.912
54,2013-03-19,143.913,144.596,143.13,143.555
55,2013-03-20,143.554,145.231,143.2,144.971
56,2013-03-21,144.972,145.183,143.4,144.113
57,2013-03-22,144.11,144.51,142.986,143.826
58,2013-03-24,143.86,144.002,143.857,143.92
59,2013-03-25,143.919,144.752,141.859,142.852
60,2013-03-26,142.853,143.507,142.445,143.269
61,2013-03-27,143.27,143.78,142.017,142.762
62,2013-03-28,142.761,143.13,142.172,143.073
63,2013-03-29,143.071,143.253,142.58,143.177
64,2013-04-01,143.207,143.367,141.783,141.958
65,2013-04-02,141.963,142.101,140.921,141.08
66,2013-04-03,141.079,141.493,140.43,140.711
67,2013-04-04,140.73,146.774,140.355,146.721
68,2013-04-05,146.72,150.002,145.923,149.582
69,2013-04-08,150.349,151.758,150.278,151.536
70,2013-04-09,151.537,152.354,150.53,151.69
71,2013-04-10,151.689,153.017,151.358,152.937
72,2013-04-11,152.931,153.817,152.264,153.326
73,2013-04-12,153.327,153.512,150.537,150.935
74,2013-04-15,150.708,151.706,147.168,147.851
75,2013-04-16,147.85,150.26,146.408,149.801
76,2013-04-17,149.8,151.131,148.078,149.471
77,2013-04-18,149.47,150.446,148.702,149.928
78,2013-04-19,149.94,152.486,149.842,151.547
79,2013-04-22,152.03,152.189,150.866,151.7
80,2013-04-23,151.701,151.987,149.934,151.555
81,2013-04-24,151.556,152.264,151.071,151.878
82,2013-04-25,151.885,153.736,151.4,153.137
83,2013-04-26,153.141,153.392,151.089,151.697
84,2013-04-29,151.647,152.179,151.013,151.492
85,2013-04-30,151.487,151.953,150.712,151.307
86,2013-05-01,151.305,152.202,150.823,151.459
87,2013-05-02,151.461,153.21,150.921,152.097
88,2013-05-03,152.1,154.646,152.018,154.151
89,2013-05-06,154.396,154.757,154.12,154.316
90,2013-05-07,154.318,154.466,152.986,153.25
91,2013-05-08,153.249,154.087,152.704,153.758
92,2013-05-09,153.762,155.778,153.241,155.384
93,2013-05-10,155.385,156.646,155.291,156.095
94,2013-05-13,156.424,156.726,155.529,155.745
95,2013-05-14,155.743,156.026,154.935,155.734
96,2013-05-15,155.743,156.43,155.359,155.728
97,2013-05-16,155.736,156.472,155.329,156.097
98,2013-05-17,156.089,156.662,155.647,156.553
99,2013-05-20,156.078,156.319,154.982,155.98
100,2013-05-21,155.984,156.514,155.102,155.273
101,2013-05-22,155.265,156.066,154.521,155.197
102,2013-05-23,155.191,155.554,151.758,154.077
103,2013-05-24,154.074,154.726,152.241,153.219
104,2013-05-27,152.938,153.226,152.344,152.519
105,2013-05-28,152.53,154.601,152.467,153.82
106,2013-05-29,153.805,154.002,152.204,153.0
107,2013-05-30,152.996,153.987,152.225,153.401
108,2013-05-31,153.38,154.198,152.346,152.692
109,2013-06-03,152.729,153.213,151.903,152.467
110,2013-06-04,152.465,153.773,152.255,153.111
111,2013-06-05,153.11,153.711,152.363,152.565
112,2013-06-06,152.567,153.546,150.317,151.26
113,2013-06-07,151.257,152.008,148.182,151.716
114,2013-06-10,151.805,154.166,151.788,153.747
115,2013-06-11,153.732,154.204,149.34,150.194
116,2013-06-12,150.198,151.994,149.266,150.503
117,2013-06-13,150.504,150.602,147.069,149.844
118,2013-06-14,149.845,150.542,147.378,147.753
119,2013-06-17,148.101,149.417,147.886,148.543
120,2013-06-18,148.542,149.586,148.404,149.084
121,2013-06-19,149.081,150.279,148.239,149.302
