,Date,Open,High,Low,Close
0,2013-01-02,0.91484,0.91976,0.90772,0.9176
1,2013-01-03,0.91761,0.92667,0.91728,0.92645
2,2013-01-04,0.92646,0.93014,0.92296,0.92417
3,2013-01-07,0.92435,0.92851,0.9209,0.92106
4,2013-01-08,0.92107,0.92552,0.91995,0.92395
5,2013-01-09,0.92396,0.92717,0.92299,0.92513
6,2013-01-10,0.92511,0.92673,0.91322,0.91396
7,2013-01-11,0.914,0.91765,0.91088,0.91337
8,2013-01-14,0.91249,0.92272,0.91182,0.92171
9,2013-01-15,0.92175,0.93311,0.92101,0.93172
10,2013-01-16,0.9317,0.93275,0.92846,0.93079
11,2013-01-17,0.93081,0.93585,0.92961,0.93237
12,2013-01-18,0.93238,0.9387,0.93025,0.93394
13,2013-01-21,0.93494,0.93509,0.93063,0.9323
14,2013-01-22,0.93232,0.93448,0.92732,0.92902
15,2013-01-23,0.92903,0.93138,0.92757,0.92925
16,2013-01-24,0.92923,0.93227,0.92781,0.92864
17,2013-01-25,0.92866,0.93052,0.92204,0.92628
18,2013-01-28,0.9268,0.92907,0.92558,0.92603
19,2013-01-29,0.92609,0.92662,0.91915,0.9212
20,2013-01-30,0.92119,0.9225,0.90917,0.91077
21,2013-01-31,0.91076,0.91187,0.90739,0.90997
22,2013-02-01,0.90992,0.91069,0.90204,0.90773
23,2013-02-04,0.90805,0.91152,0.90707,0.90815
24,2013-02-05,0.90821,0.91142,0.90712,0.90816
25,2013-02-06,0.9081,0.91476,0.9055,0.90986
26,2013-02-07,0.90964,0.91994,0.90639,0.91813
27,2013-02-08,0.91815,0.91928,0.91524,0.91701
28,2013-02-11,0.9177,0.92022,0.91551,0.92007
29,2013-02-12,0.9201,0.92127,0.9148,0.91684
30,2013-02-13,0.91681,0.91944,0.91506,0.91716
31,2013-02-14,0.91717,0.92438,0.91669,0.92093
32,2013-02-15,0.92092,0.92392,0.92003,0.92158
33,2013-02-18,0.92253,0.92565,0.92081,0.92321
34,2013-02-19,0.92322,0.92473,0.92137,0.92242
35,2013-02-20,0.9224,0.92841,0.91829,0.92675
36,2013-02-21,0.92674,0.9331,0.92666,0.93077
37,2013-02-22,0.93078,0.93269,0.92817,0.92937
38,2013-02-25,0.92928,0.93369,0.923,0.93193
39,2013-02-26,0.93191,0.93334,0.92847,0.93174
40,2013-02-27,0.93173,0.93308,0.92838,0.92935
41,2013-02-28,0.9295,0.93719,0.92786,0.93645
42,2013-03-01,0.93647,0.9461,0.93498,0.94237
43,2013-03-04,0.94224,0.94385,0.94059,0.94069
44,2013-03-05,0.94068,0.94318,0.93917,0.94064
45,2013-03-06,0.94065,0.94873,0.94008,0.94854
46,2013-03-07,0.94855,0.94868,0.94082,0.94244
47,2013-03-08,0.94245,0.95502,0.94157,0.95107
48,2013-03-11,0.95169,0.95278,0.94644,0.94669
49,2013-03-12,0.94668,0.95027,0.94344,0.9471
50,2013-03-13,0.94705,0.95308,0.94281,0.95236
51,2013-03-14,0.95233,0.9565,0.94497,0.94685
52,2013-03-15,0.9469,0.94749,0.93776,0.93849
53,2013-03-18,0.94279,0.94847,0.94149,0.94594
54,2013-03-19,0.94595,0.94897,0.94237,0.94741
55,2013-03-20,0.94728,0.94795,0.94093,0.94431
56,2013-03-21,0.94432,0.94805,0.94367,0.94685
57,2013-03-22,0.94684,0.94727,0.93954,0.94053
58,2013-03-24,0.94155,0.94188,0.94111,0.94181
59,2013-03-25,0.94174,0.9495,0.93522,0.94872
60,2013-03-26,0.94868,0.9503,0.94706,0.94819
61,2013-03-27,0.94818,0.95519,0.94756,0.9537
62,2013-03-28,0.95369,0.95464,0.94643,0.94963
63,2013-03-29,0.94962,0.95095,0.94798,0.94926
64,2013-04-01,0.95015,0.95252,0.94543,0.94638
65,2013-04-02,0.94639,0.94955,0.94427,0.94874
66,2013-04-03,0.94875,0.95187,0.94402,0.94485
67,2013-04-04,0.94487,0.95242,0.93805,0.93959
68,2013-04-05,0.93958,0.94318,0.93112,0.9345
69,2013-04-08,0.93526,0.93596,0.93272,0.93435
70,2013-04-09,0.93499,0.93646,0.9306,0.93234
71,2013-04-10,0.93238,0.93347,0.92932,0.93251
72,2013-04-11,0.93252,0.93386,0.92771,0.93069
73,2013-04-12,0.9307,0.93305,0.92633,0.92721
74,2013-04-15,0.92676,0.93257,0.92667,0.93107
75,2013-04-16,0.93108,0.93252,0.92062,0.92233
76,2013-04-17,0.92234,0.93372,0.92046,0.93258
77,2013-04-18,0.93265,0.93332,0.92878,0.93243
78,2013-04-19,0.93242,0.93411,0.9275,0.93346
79,2013-04-22,0.93171,0.93691,0.93136,0.93395
80,2013-04-23,0.93394,0.9455,0.93259,0.94513
81,2013-04-24,0.94516,0.94967,0.94421,0.94672
82,2013-04-25,0.94673,0.94824,0.94207,0.94459
83,2013-04-26,0.94457,0.94544,0.94007,0.94264
84,2013-04-29,0.94106,0.94286,0.93531,0.93644
85,2013-04-30,0.93643,0.93824,0.92769,0.92919
86,2013-05-01,0.92936,0.93076,0.92454,0.92713
87,2013-05-02,0.92718,0.93609,0.92637,0.93473
88,2013-05-03,0.93472,0.93973,0.93024,0.93513
89,2013-05-06,0.93473,0.93954,0.93363,0.93815
90,2013-05-07,0.93814,0.94349,0.93652,0.94016
91,2013-05-08,0.94014,0.94095,0.93354,0.93531
92,2013-05-09,0.93532,0.94972,0.9332,0.94792
93,2013-05-10,0.94789,0.9626,0.94747,0.95675
94,2013-05-13,0.95915,0.95941,0.95455,0.95739
95,2013-05-14,0.95738,0.96721,0.95194,0.96695
96,2013-05-15,0.96692,0.97458,0.96412,0.96461
97,2013-05-16,0.96459,0.97067,0.95763,0.96464
98,2013-05-17,0.96465,0.97591,0.96353,0.97225
99,2013-05-20,0.9701,0.97173,0.96467,0.96694
100,2013-05-21,0.96693,0.9749,0.96533,0.9699
101,2013-05-22,0.96989,0.9837,0.96776,0.97814
102,2013-05-23,0.9782,0.98156,0.96319,0.96871
103,2013-05-24,0.96868,0.97154,0.95894,0.96136
104,2013-05-27,0.9616,0.96463,0.95907,0.96298
105,2013-05-28,0.96297,0.9779,0.96218,0.97695
106,2013-05-29,0.97699,0.97883,0.95981,0.96151
107,2013-05-30,0.96152,0.96491,0.95248,0.95292
108,2013-05-31,0.95295,0.9623,0.95098,0.95541
109,2013-06-03,0.95582,0.96227,0.94067,0.94697
110,2013-06-04,0.94698,0.95184,0.94516,0.94666
111,2013-06-05,0.94669,0.94922,0.93941,0.94194
112,2013-06-06,0.94195,0.94374,0.92246,0.92914
113,2013-06-07,0.92915,0.93724,0.92481,0.93582
114,2013-06-10,0.93679,0.94167,0.93163,0.93357
115,2013-06-11,0.93347,0.93479,0.92208,0.92453
116,2013-06-12,0.92456,0.92849,0.91716,0.92059
117,2013-06-13,0.9206,0.9257,0.91287,0.92173
118,2013-06-14,0.9217,0.92683,0.91947,0.92096
119,2013-06-17,0.92168,0.927,0.92102,0.92242
120,2013-06-18,0.92241,0.92606,0.91737,0.92007
121,2013-06-19,0.92006,0.93202,0.91786,0.92815
122,2013-06-20,0.92793,0.93592,0.92497,0.9273
123,2013-06-21,0.92729,0.93666,0.92406,0.93423
124,2013-06-24,0.93645,0.93791,0.93107,0.93308
125,2013-06-25,0.93315,0.9406,0.93174,0.93816
126,2013-06-26,0.93789,0.94417,0.93709,0.9429
127,2013-06-27,0.94289,0.9486,0.94046,0.945
128,2013-06-28,0.94501,0.94732,0.94096,0.9446
129,2013-07-01,0.94556,0.95022,0.94375,0.94508
130,2013-07-02,0.94509,0.95277,0.94435,0.9504
131,2013-07-03,0.95039,0.95215,0.94452,0.94632
132,2013-07-04,0.94631,0.95822,0.94577,0.95645
133,2013-07-05,0.95644,0.9659,0.95588,0.96378
134,2013-07-08,0.96528,0.96651,0.96236,0.96344
135,2013-07-09,0.96343,0.97491,0.96312,0.9724
136,2013-07-10,0.97248,0.97431,0.9579,0.9584
137,2013-07-11,0.95845,0.95936,0.94043,0.94677
138,2013-07-12,0.94672,0.95121,0.94366,0.94632
139,2013-07-15,0.94545,0.95325,0.94522,0.94814
140,2013-07-16,0.94816,0.9494,0.93773,0.93889
141,2013-07-17,0.93894,0.94441,0.93578,0.94088
142,2013-07-18,0.94084,0.94761,0.94041,0.9445
143,2013-07-19,0.94453,0.946,0.93954,0.94076
144,2013-07-22,0.94101,0.94139,0.93208,0.93601
145,2013-07-23,0.93605,0.94048,0.93405,0.93468
146,2013-07-24,0.93469,0.93868,0.93387,0.93723
147,2013-07-25,0.93724,0.9393,0.92819,0.92961
148,2013-07-26,0.9296,0.93033,0.92623,0.92822
149,2013-07-29,0.92798,0.93204,0.92681,0.93087
150,2013-07-30,0.9309,0.93228,0.92714,0.9296
151,2013-07-31,0.92961,0.93354,0.92268,0.92599
152,2013-08-01,0.92601,0.93707,0.92519,0.93662
153,2013-08-02,0.93663,0.93885,0.92732,0.92944
154,2013-08-05,0.9291,0.93318,0.9268,0.92715
155,2013-08-06,0.92713,0.9295,0.92374,0.92565
156,2013-08-07,0.92562,0.92876,0.92066,0.92152
157,2013-08-08,0.92151,0.92281,0.91739,0.91996
158,2013-08-09,0.91994,0.92286,0.91899,0.92206
159,2013-08-12,0.92388,0.92834,0.92157,0.92549
160,2013-08-13,0.92553,0.93476,0.92553,0.93273
161,2013-08-14,0.93274,0.93764,0.93229,0.93538
162,2013-08-15,0.93529,0.93951,0.92467,0.92594
163,2013-08-16,0.92592,0.92868,0.92163,0.92627
164,2013-08-19,0.926,0.92841,0.92274,0.92385
165,2013-08-20,0.92387,0.925,0.91462,0.91716
166,2013-08-21,0.91716,0.92343,0.91615,0.92211
167,2013-08-22,0.92212,0.92889,0.92182,0.92311
168,2013-08-23,0.92296,0.92624,0.91889,0.92153
169,2013-08-26,0.92098,0.92454,0.92028,0.92287
170,2013-08-27,0.92289,0.92291,0.91702,0.91731
171,2013-08-28,0.91734,0.92341,0.91699,0.92192
172,2013-08-29,0.92189,0.93202,0.92163,0.93069
173,2013-08-30,0.93067,0.93313,0.92879,0.92967
174,2013-09-02,0.93154,0.93479,0.93092,0.93424
175,2013-09-03,0.93423,0.93817,0.93398,0.93636
176,2013-09-04,0.93636,0.93815,0.93469,0.93512
177,2013-09-05,0.93509,0.9454,0.935,0.94466
178,2013-09-06,0.94466,0.94544,0.93451,0.93769
179,2013-09-09,0.93903,0.93907,0.93003,0.93222
180,2013-09-10,0.93218,0.93656,0.93155,0.93461
181,2013-09-11,0.93461,0.937,0.92843,0.93024
182,2013-09-12,0.93024,0.93341,0.92711,0.93043
183,2013-09-13,0.93039,0.93401,0.92797,0.92939
184,2013-09-16,0.92365,0.9277,0.92312,0.92713
185,2013-09-17,0.92714,0.92781,0.92513,0.92573
186,2013-09-18,0.92574,0.92675,0.91082,0.91178
187,2013-09-19,0.91184,0.9137,0.90892,0.9103
188,2013-09-20,0.91029,0.91259,0.90881,0.9104
189,2013-09-23,0.90844,0.91289,0.90836,0.91072
190,2013-09-24,0.91071,0.91323,0.90982,0.91261
191,2013-09-25,0.91253,0.91367,0.90777,0.90908
192,2013-09-26,0.90904,0.91163,0.90867,0.9101
193,2013-09-27,0.91006,0.91101,0.90203,0.90576
194,2013-09-30,0.90607,0.90677,0.90243,0.90464
195,2013-10-01,0.90457,0.90742,0.89918,0.90533
196,2013-10-02,0.90528,0.90765,0.89936,0.90257
197,2013-10-03,0.90253,0.90326,0.89668,0.8992
198,2013-10-04,0.8992,0.90809,0.89773,0.90711
199,2013-10-07,0.9065,0.90682,0.90152,0.9027
200,2013-10-08,0.90264,0.9065,0.9022,0.90368
201,2013-10-09,0.9037,0.9127,0.90148,0.90977
202,2013-10-10,0.90967,0.91301,0.90821,0.91138
203,2013-10-11,0.91129,0.91309,0.9069,0.91165
204,2013-10-14,0.90929,0.91203,0.90631,0.9101
205,2013-10-15,0.91011,0.91772,0.9092,0.91238
206,2013-10-16,0.91239,0.91742,0.90971,0.91314
207,2013-10-17,0.91314,0.91454,0.9007,0.90218
208,2013-10-18,0.90218,0.9036,0.90036,0.90172
209,2013-10-21,0.90175,0.90439,0.90049,0.90176
210,2013-10-22,0.90185,0.90385,0.89392,0.89454
211,2013-10-23,0.89453,0.89649,0.89101,0.89214
212,2013-10-24,0.89214,0.89273,0.88894,0.89217
213,2013-10-25,0.89219,0.89643,0.88919,0.89254
214,2013-10-27,0.89235,0.89258,0.89201,0.8923
215,2013-10-28,0.8923,0.89621,0.89209,0.89554
216,2013-10-29,0.89557,0.90018,0.89429,0.89854
217,2013-10-30,0.89855,0.90233,0.89495,0.89908
218,2013-10-31,0.89909,0.9075,0.89888,0.90665
219,2013-11-01,0.90665,0.9137,0.9065,0.912
220,2013-11-04,0.91204,0.9151,0.90903,0.90965
221,2013-11-05,0.90957,0.91466,0.90936,0.91346
222,2013-11-06,0.91344,0.91385,0.90972,0.91201
223,2013-11-07,0.912,0.92489,0.91081,0.91558
224,2013-11-08,0.9156,0.92457,0.91528,0.92111
225,2013-11-11,0.92249,0.92308,0.91884,0.91926
226,2013-11-12,0.91926,0.92253,0.91541,0.91736
227,2013-11-13,0.91739,0.91996,0.91248,0.91326
228,2013-11-14,0.91327,0.91877,0.91232,0.91605
229,2013-11-15,0.9165,0.91906,0.91291,0.9147
230,2013-11-18,0.91429,0.9161,0.90947,0.91279
231,2013-11-19,0.91279,0.91435,0.91019,0.91084
232,2013-11-20,0.91084,0.9189,0.90781,0.91595
233,2013-11-21,0.91594,0.91876,0.9126,0.9127
234,2013-11-22,0.91271,0.91488,0.90643,0.90643
235,2013-11-25,0.90725,0.91303,0.90607,0.91167
236,2013-11-26,0.91171,0.91178,0.90608,0.9063
237,2013-11-27,0.90629,0.90914,0.90398,0.9074
238,2013-11-28,0.9074,0.90855,0.90402,0.9053
239,2013-11-29,0.9053,0.90705,0.90275,0.90598
240,2013-12-02,0.90596,0.91092,0.90424,0.90849
241,2013-12-03,0.90851,0.90998,0.90198,0.9042
