,Date,Open,High,Low,Close
0,2013-01-01,86.658,86.842,86.627,86.765
1,2013-01-02,86.765,87.342,86.535,87.324
2,2013-01-03,87.324,87.546,86.763,87.431
3,2013-01-04,87.431,88.397,87.399,88.14
4,2013-01-07,88.322,88.322,87.351,87.456
5,2013-01-08,87.457,87.788,86.823,86.841
6,2013-01-09,86.843,88.065,86.824,88.034
7,2013-01-10,88.03,89.03,87.964,88.923
8,2013-01-11,88.925,89.435,88.734,89.176
9,2013-01-14,89.487,89.638,89.078,89.476
10,2013-01-15,89.474,89.623,88.292,88.819
11,2013-01-16,88.818,88.849,87.79,88.568
12,2013-01-17,88.567,90.105,88.129,89.953
13,2013-01-18,89.952,90.182,89.632,90.083
14,2013-01-21,90.148,90.228,89.336,89.813
15,2013-01-22,89.814,90.118,88.364,88.752
16,2013-01-23,88.751,88.789,88.056,88.538
17,2013-01-24,88.535,90.531,88.416,90.42
18,2013-01-25,90.422,91.192,90.285,90.877
19,2013-01-28,91.059,91.248,90.559,90.652
20,2013-01-29,90.648,91.008,90.324,90.753
21,2013-01-30,90.755,91.401,90.712,91.066
22,2013-01-31,91.065,91.797,90.742,91.733
23,2013-02-01,91.732,92.952,91.613,92.789
24,2013-02-04,92.83,93.178,91.976,92.095
25,2013-02-05,92.092,93.777,92.071,93.709
26,2013-02-06,93.71,94.045,93.277,93.517
27,2013-02-07,93.518,93.912,93.082,93.714
28,2013-02-08,93.713,93.725,92.167,92.672
29,2013-02-11,92.564,94.431,92.448,94.238
30,2013-02-12,94.239,94.403,92.964,93.221
31,2013-02-13,93.222,93.772,92.819,93.221
32,2013-02-14,93.222,93.707,92.676,92.882
33,2013-02-15,92.881,93.834,92.22,93.505
34,2013-02-18,93.878,94.208,93.708,93.904
35,2013-02-19,93.906,93.943,93.292,93.568
36,2013-02-20,93.564,94.029,93.136,93.699
37,2013-02-21,93.698,93.856,92.771,92.976
38,2013-02-22,92.975,93.506,92.922,93.405
39,2013-02-25,94.203,94.303,90.929,92.171
40,2013-02-26,92.171,92.743,91.125,91.968
41,2013-02-27,91.969,92.431,91.137,92.203
42,2013-02-28,92.203,92.843,92.009,92.623
43,2013-03-01,92.622,93.68,92.438,93.579
44,2013-03-04,93.547,93.721,93.173,93.482
45,2013-03-05,93.482,93.507,92.914,93.35
46,2013-03-06,93.35,94.11,93.009,93.984
47,2013-03-07,93.985,95.088,93.788,94.918
48,2013-03-08,94.919,96.551,94.845,95.987
49,2013-03-11,96.163,96.652,95.962,96.616
50,2013-03-12,96.617,96.707,95.639,95.881
51,2013-03-13,95.88,96.252,95.444,96.039
52,2013-03-14,96.039,96.586,95.68,96.063
53,2013-03-15,96.059,96.273,95.076,95.28
54,2013-03-18,94.887,95.594,94.308,95.37
55,2013-03-19,95.37,95.742,94.721,95.019
56,2013-03-20,95.017,96.129,94.827,96.065
57,2013-03-21,96.067,96.088,94.554,95.077
58,2013-03-22,95.077,95.088,94.195,94.421
59,2013-03-25,94.621,94.959,93.524,94.222
60,2013-03-26,94.224,94.632,93.862,94.628
61,2013-03-27,94.627,94.906,94.021,94.35
62,2013-03-28,94.35,94.431,93.875,94.282
63,2013-03-29,94.29,94.291,93.905,94.15
64,2013-04-01,94.252,94.371,93.056,93.196
65,2013-04-02,93.198,93.557,92.568,93.367
66,2013-04-03,93.366,93.685,92.713,93.078
67,2013-04-04,93.08,96.412,92.728,96.371
68,2013-04-05,96.362,97.829,95.797,97.52
69,2013-04-08,98.235,99.495,98.073,99.475
70,2013-04-09,99.473,99.66,98.587,99.174
71,2013-04-10,99.173,99.87,98.908,99.813
72,2013-04-11,99.813,99.944,99.127,99.794
73,2013-04-12,99.792,99.792,98.088,98.338
74,2013-04-15,98.337,98.709,95.792,96.571
75,2013-04-16,96.574,98.152,96.513,97.776
76,2013-04-17,97.776,98.428,97.205,98.256
77,2013-04-18,98.261,98.527,97.628,98.217
78,2013-04-19,98.217,99.68,98.105,99.48
79,2013-04-22,99.776,99.879,98.98,99.296
80,2013-04-23,99.297,99.531,98.483,99.379
81,2013-04-24,99.379,99.757,99.184,99.524
82,2013-04-25,99.524,99.562,98.981,99.321
83,2013-04-26,99.32,99.411,97.553,97.998
84,2013-04-29,97.953,98.197,97.347,97.832
85,2013-04-30,97.831,98.121,97.005,97.381
86,2013-05-01,97.383,97.674,97.022,97.285
87,2013-05-02,97.285,98.39,97.086,97.913
88,2013-05-03,97.913,99.265,97.885,98.956
89,2013-05-06,99.143,99.452,99.057,99.329
90,2013-05-07,99.33,99.431,98.826,98.961
91,2013-05-08,98.965,99.148,98.58,98.941
92,2013-05-09,98.938,100.788,98.647,100.633
93,2013-05-10,100.635,101.982,100.538,101.589
94,2013-05-13,101.782,102.151,101.515,101.762
95,2013-05-14,101.764,102.429,101.26,102.265
96,2013-05-15,102.27,102.763,101.852,102.253
97,2013-05-16,102.26,102.683,101.832,102.222
98,2013-05-17,102.226,103.306,102.08,103.178
99,2013-05-20,102.661,102.917,102.162,102.256
100,2013-05-21,102.256,102.884,102.069,102.503
101,2013-05-22,102.501,103.733,102.347,103.12
102,2013-05-23,103.117,103.57,100.832,101.985
103,2013-05-24,101.992,102.583,100.663,101.254
104,2013-05-27,101.241,101.295,100.745,101.071
105,2013-05-28,101.071,102.501,101.046,102.27
106,2013-05-29,102.275,102.525,100.716,101.131
107,2013-05-30,101.131,101.801,100.467,100.766
108,2013-05-31,100.778,101.277,100.222,100.433
109,2013-06-03,100.544,100.721,98.862,99.443
110,2013-06-04,99.447,100.413,99.333,100.048
111,2013-06-05,100.047,100.46,98.966,99.146
112,2013-06-06,99.053,99.461,95.909,96.964
113,2013-06-07,96.963,97.779,94.982,97.533
114,2013-06-10,97.85,99.278,97.709,98.755
115,2013-06-11,98.755,99.036,95.6,96.012
116,2013-06-12,96.011,97.013,95.138,96.008
117,2013-06-13,96.007,96.072,93.788,95.362
118,2013-06-14,95.61,95.728,93.992,94.055
119,2013-06-17,94.192,95.216,94.178,94.67
120,2013-06-18,94.672,95.763,94.445,95.395
121,2013-06-19,95.391,97.031,94.833,96.284
122,2013-06-20,96.283,98.286,96.205,97.313
123,2013-06-21,97.324,98.133,96.864,97.881
124,2013-06-24,97.975,98.7,97.222,97.718
125,2013-06-25,97.718,98.058,96.965,97.953
126,2013-06-26,97.962,98.234,97.238,97.78
127,2013-06-27,97.707,98.565,97.563,98.337
128,2013-06-28,98.345,99.443,98.336,99.121
129,2013-07-01,99.212,99.861,99.178,99.616
130,2013-07-02,99.622,100.725,99.508,100.627
131,2013-07-03,100.627,100.853,99.261,99.955
132,2013-07-04,99.952,100.159,99.493,100.113
133,2013-07-05,100.115,101.223,99.889,101.18
134,2013-07-08,101.28,101.531,100.787,100.886
135,2013-07-09,100.888,101.298,100.769,101.075
136,2013-07-10,101.074,101.214,99.417,99.537
137,2013-07-11,99.536,99.644,98.248,98.991
138,2013-07-12,98.989,99.693,98.675,99.169
139,2013-07-15,99.305,100.483,99.076,99.953
140,2013-07-16,99.948,100.068,98.893,99.156
141,2013-07-17,99.155,99.945,99.042,99.584
142,2013-07-18,99.584,100.653,99.465,100.522
143,2013-07-19,100.512,100.864,99.806,100.617
144,2013-07-22,100.39,100.618,99.285,99.613
145,2013-07-23,99.613,100.18,99.144,99.473
146,2013-07-24,99.474,100.438,99.383,100.267
147,2013-07-25,100.27,100.453,98.888,99.258
148,2013-07-26,99.27,99.392,97.961,98.224
149,2013-07-29,98.296,98.296,97.633,97.917
150,2013-07-30,97.917,98.462,97.758,98.038
151,2013-07-31,98.037,98.516,97.584,97.803
152,2013-08-01,97.808,99.57,97.654,99.499
153,2013-08-02,99.501,99.948,98.662,98.92
154,2013-08-05,98.972,99.149,98.189,98.251
155,2013-08-06,98.251,98.584,97.512,97.772
156,2013-08-07,97.77,97.777,96.322,96.372
157,2013-08-08,96.372,96.934,95.809,96.603
158,2013-08-09,96.601,96.969,96.127,96.218
159,2013-08-12,96.302,97.149,95.924,97.094
160,2013-08-13,97.098,98.341,97.049,98.24
161,2013-08-14,98.265,98.427,97.864,98.014
162,2013-08-15,98.014,98.649,97.078,97.276
163,2013-08-16,97.263,97.773,97.051,97.521
164,2013-08-19,97.619,98.123,97.357,97.621
165,2013-08-20,97.622,97.862,96.912,97.31
166,2013-08-21,97.309,97.981,97.122,97.702
167,2013-08-22,97.707,98.811,97.691,98.76
168,2013-08-23,98.76,99.147,98.389,98.671
169,2013-08-26,98.611,98.842,98.268,98.434
170,2013-08-27,98.447,98.53,96.985,97.033
171,2013-08-28,97.034,97.837,96.817,97.705
172,2013-08-29,97.705,98.52,97.448,98.331
173,2013-08-30,98.331,98.476,97.884,98.116
174,2013-09-02,98.321,99.428,98.274,99.368
175,2013-09-03,99.368,99.86,99.169,99.558
176,2013-09-04,99.562,99.813,99.328,99.755
177,2013-09-05,99.755,100.194,99.567,100.169
178,2013-09-06,100.167,100.224,98.541,99.094
